District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,52,431,320.86,29722,381678.64
Barpeta,121,718,822.59,27248,7570.5
Biswanath,56,470,671.05,13040,3272.42
Bongaigaon,55,716,591.05,9570,3400.99
Cachar,161,1544,865.66,7123,2560.61
Charaideo,35,194,215.5,4874,1126.85
Chirang,32,222,268.94,3408,748.38
Darrang,70,319,344.92,13416,3718.42
Dhemaji,45,257,348.64,14521,3688.32
Dhubri,85,132,190.49,4700,1062.36
Dibrugarh,183,466,546.06,32051,8100.76
Dima Hasao,27,121,163,443,328.33
Goalpara,67,324,252.27,12230,3659.79
Golaghat,118,521,763.1,29999,7583.23
Hailakandi,44,284,319.65,1660,564.3
Hojai,61,165,227.64,8488,2134.97
Jorhat,135,478,625.18,48723,10895.58
Kamrup Metro,167,509,664.91,55871,12470.25
Karbi Anglong,63,1336,1906.7,6779,2723.52
Karimganj,87,473,420.93,5683,2053.93
Kokrajhar,51,668,511.64,965,556.03
Lakhimpur,89,842,1189.83,29182,9265.23
Majuli,13,59,75.1,3071,555.42
Morigaon,69,149,209.97,8200,2514.5
Nagaon,150,872,802.5,40561,10290.05
Nalbari,84,378,398.16,23629,5630.54
Sivasagar,95,544,662.71,20581,5976.35
Sonitpur,122,802,617.57,25512,5483.47
South Salmara,10,64,94.28,79,97.96
Tinsukia,149,448,606.31,17557,4391.53
Udalguri,45,307,284.13,9151,2096.4
West Karbi Anglong,22,364,505.5,1433,743.52
