district,Total Branch,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Baksa,52,18617,13236.13,118,2255.35,0,0,1089,592.22,19824,16083.7
Barpeta,121,30390,42163.93,1124,13553.64,64,1417.8,1429,702.97,33007,57838.34
Biswanath,56,14480,10523.1,388,5951.38,25,3350.4,1318,731.31,16211,20556.19
Bongaigaon,55,16758,21986.09,1055,15340.22,61,3665.19,1497,757.29,19371,41748.79
Cachar,161,33169,64671.72,1766,29335.12,109,5609.7,605,610.28,35649,100226.82
Charaideo,35,6084,8029.18,133,2264.68,4,48.64,98,24.95,6319,10367.45
Chirang,32,10089,8773.62,129,2693.96,5,808.82,683,514.07,10906,12790.47
Darrang,70,16818,20411.41,495,7444.81,14,215.65,412,340.45,17739,28412.32
Dhemaji,45,20361,13986.07,394,4869.33,2,16.2,470,245.72,21227,19117.32
Dhubri,85,17261,18206.57,536,7292.68,7,438.93,246,130.51,18050,26068.69
Dibrugarh,183,43415,87706.41,2522,61970.56,147,8205.38,1237,1280.97,47321,159163.32
Dima Hasao,27,1983,2955.66,82,443.8,2,0.09,2,1.22,2069,3400.77
Goalpara,67,19606,16367.67,271,5050.31,10,276.88,435,270.73,20322,21965.59
Golaghat,118,24084,27991.2,1133,17555.01,24,390.02,1506,665.75,26747,46601.98
Hailakandi,44,7510,10473.38,291,4998.1,33,136.11,394,266.52,8228,15874.11
Hojai,61,15493,14948.79,462,4276.85,5,14.17,323,364.44,16283,19604.25
Jorhat,135,29513,57289.88,1532,42232.52,120,15228.25,875,583.53,32040,115334.18
KARIMGANJ,87,13626,20716.84,554,8010.57,29,887.04,975,796.34,15184,30410.79
Kamrup,167,42730,58634.24,1994,23653.39,282,8358.34,1824,1269.82,46830,91915.79
Kamrup Metro,417,77985,446394,14327,430959.27,1280,153595.1,1756,22436,95348,1053384.37
Karbi Anglong,63,14088,8847.96,148,2075.16,5,109.49,73,75.22,14314,11107.83
Kokrajhar,51,8348,11001.21,214,3707.21,23,408.37,236,208.85,8821,15325.64
Lakhimpur,89,33554,33488.22,937,12731.77,18,186.16,3864,2165.96,38373,48572.11
Majuli,13,3373,4378.21,51,644.61,0,0,366,159.81,3790,5182.63
Morigaon,69,13767,18438.14,372,3704.46,12,593.4,441,1148.71,14592,23884.71
Nagaon,150,29399,46055.42,1508,23759.37,77,4948.88,757,365.17,31741,75128.84
Nalbari,84,19767,20918.58,458,8138.21,22,399.23,905,658.1,21152,30114.12
Sivasagar,95,22565,34885.42,1161,19548.85,26,5755.84,1251,615.49,25003,60805.6
Sonitpur,122,26725,48038.73,1768,26062.43,175,4925,632,4517.48,29300,83543.64
South Salmara,10,1424,2043.76,16,303.85,0,0,31,103.9,1471,2451.51
Tinsukia,149,31262,61107.05,1855,36884.73,88,5165.06,870,738.24,34075,103895.08
Udalguri,45,14460,12712.53,71,1012.92,2,3.61,315,481.46,14848,14210.52
West Karbi Anglong,22,1652,614.23,8,50.88,4,4.88,3,1,1667,670.99
