district,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Baksa,52,54,135.96,58,124.04,1270,1960.78,864,1123.35,57.29
Barpeta,121,157,509.7,182,423.15,1854,3064.81,928,1465.5,47.82
Biswanath,56,42,97.88,38,71.96,367,510.8,186,237.56,46.51
Bongaigaon,55,34,94.18,36,86.81,688,825.03,409,514.19,62.32
Cachar,161,60,221.97,70,185.58,1734,2248.05,709,928.05,41.28
Charaideo,35,9,27.14,7,13.22,395,577.76,168,288.81,49.99
Chirang,32,30,26.21,32,35.46,1445,1760.81,1174,1395.68,79.26
Darrang,70,57,124.8,55,116.33,983,1472.86,683,996.6,67.66
Dhemaji,45,65,200.87,67,159.64,880,1910.26,415,786.83,41.19
Dhubri,85,81,234.89,119,242.56,1827,2457.83,1064,1204.4,49
Dibrugarh,183,78,345.31,103,291.59,1500,2727.42,675,1010.03,37.03
Dima Hasao,27,23,34.27,24,34.24,219,315.02,56,55.28,17.55
Goalpara,67,51,92.53,50,85.45,1087,1241.11,646,790.08,63.66
Golaghat,118,61,264.73,96,283.5,1257,1789.47,579,820.24,45.84
Hailakandi,44,67,201.9,67,112.81,747,1052.91,359,475.64,45.17
Hojai,61,19,41.1,37,54.94,675,857.54,194,225.87,26.34
Jorhat,135,47,148,75,166.66,1083,1562.98,453,585,37.43
Kamrup Metro,167,80,240.72,97,216.69,1585,2057.64,907,1117.85,54.33
Karbi Anglong,63,77,108.78,76,108.13,376,411.23,169,110.44,26.86
Karimganj,87,71,219.31,73,177.21,848,1244.24,268,348.75,28.03
Kokrajhar,51,48,112.44,58,103.61,1863,2320.38,1504,1824.23,78.62
Lakhimpur,89,91,308.52,117,302.46,1234,2282.42,544,939.52,41.16
Majuli,13,10,16.2,7,10.75,151,150.6,64,68.84,45.71
Morigaon,69,30,59.09,39,59.25,825,1205.76,469,638.84,52.98
Nagaon,150,51,166.36,63,165.21,1731,2852.15,853,1243.18,43.59
Nalbari,84,69,190.77,75,170.27,1147,2011.18,762,1260.28,62.66
Sivasagar,95,71,317.42,69,216.16,907,1827.15,342,596.1,32.62
Sonitpur,122,98,350.74,103,245.8,1283,2316.35,571,858.76,37.07
South Salmara,10,17,36.42,17,35.46,389,438.87,338,370.35,84.39
Tinsukia,149,78,242.53,75,166.94,1376,2197.33,629,809.19,36.83
Udalguri,45,24,55.08,22,44.71,1689,2643.24,1622,2393.76,90.56
West Karbi Anglong,22,0,0,0,0,16,13.97,13,10.71,76.66
