District,Total Branch,Inactive CSP,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated Sb accounts,RuPay card issued in KCC
Baksa,52,20,204090,177516,25300,9933
Barpeta,121,35,616928,511686,93400,27612
Biswanath,56,12,129696,121602,29094,12281
Bongaigaon,55,11,185087,161452,37899,5522
Cachar,161,23,281364,218863,94279,15282
Charaideo,35,13,48619,36809,7248,4163
Chirang,32,8,96642,81307,12244,7954
Darrang,70,28,240795,209820,39172,16735
Dhemaji,45,24,287609,281371,26419,11301
Dhubri,85,25,462841,433298,60318,13906
Dibrugarh,183,46,266994,276420,97002,26806
Dima Hasao,27,7,25553,21324,22961,224
Goalpara,67,31,238337,215780,26631,13881
Golaghat,118,32,205118,203692,68458,21381
Hailakandi,44,24,152277,122908,32572,7951
Hojai,61,16,229617,204549,75785,9531
Jorhat,135,25,165167,136636,57680,21507
Kamrup Metro,167,37,382552,319328,79858,29811
Karbi Anglong,63,9,104948,68620,28987,4621
Karimganj,87,30,166705,157598,33763,4276
Kokrajhar,51,10,227651,205854,22793,11714
Lakhimpur,89,19,282112,283851,43767,19237
Majuli,13,1,27300,22953,5528,2873
Morigaon,69,14,130824,101277,56819,14537
Nagaon,150,63,518729,479231,263581,24427
Nalbari,84,26,146842,123332,44583,13831
Sivasagar,95,8,116994,122422,37335,9772
Sonitpur,122,20,272746,225504,121876,16044
South Salmara,10,5,88696,82676,11262,1632
Tinsukia,149,44,229958,169651,92087,24911
Udalguri,45,30,239930,221932,14698,14423
West Karbi Anglong,22,4,29831,29099,3014,789
