district,Total Branch,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Baksa,52,784,83.48,454,1223.45,1265,114.4,941,2165.75,4238,4565.89,1211,640.57,14.03
Barpeta,121,1113,157.03,1028,2560.84,1725,211.63,1750,3964.76,6651,6535.23,2116,1246.26,19.07
Biswanath,56,867,170.23,855,1880.23,1408,459.28,1528,3130.84,6568,6153.36,2059,1054.81,17.14
Bongaigaon,55,968,131.08,498,1311.39,1299,301.32,738,2037.25,2744,3042.16,251,126.2,4.15
Cachar,161,723,89.2,415,633.3,1593,171.19,1035,1603.67,4697,3960.27,1231,746.08,18.84
Charaideo,35,314,33.26,276,809.43,537,33.87,551,1683.28,2415,2290.89,337,189.21,8.26
Chirang,32,632,33.13,304,928.48,857,41.02,687,1615.78,2485,2695.36,595,489.23,18.15
Darrang,70,1039,113.74,608,1728.68,1625,159.15,976,2592.73,4460,4453.38,1440,1070.75,24.04
Dhemaji,45,1360,152.68,788,2051.99,1827,203.41,1753,3735.29,4786,4598.5,1031,475.19,10.33
Dhubri,85,3783,569.69,642,1428.09,4754,691.87,1495,2969.58,5696,4724.94,1690,766.27,16.22
Dibrugarh,183,1930,467.32,956,2297.58,2560,865.64,2001,4325.54,6379,6658.7,572,280.3,4.21
Dima Hasao,27,190,6.77,126,185.43,263,40.62,178,276,695,532.92,124,45.36,8.51
Goalpara,67,778,91.96,739,2206.17,1141,140.5,1227,3350.43,4935,4461.61,1106,553.01,12.39
Golaghat,118,1438,261.95,783,2039.58,2071,620.13,1611,3850.62,6101,7454.59,684,384.87,5.16
Hailakandi,44,852,139.75,229,322.93,1348,173.89,442,558.37,2288,1834.52,711,341.44,18.61
Hojai,61,799,73.57,312,573.05,1024,99.14,705,1083.21,2873,2816.37,389,206.76,7.34
Jorhat,135,909,238.17,617,1756.94,1123,389.1,1100,2927.52,5035,5930.25,627,469.37,7.91
Kamrup Metro,167,1075,171.88,1052,2035.37,2120,355.1,2386,4404.51,7720,7537.02,2039,1407.61,18.68
Karbi Anglong,63,150,9.33,737,2014.86,381,13.75,968,2530.34,3409,2863.73,894,298.55,10.43
Karimganj,87,659,92.49,241,318.97,1131,112.49,593,849.51,3332,2362.78,1344,601.21,25.45
Kokrajhar,51,1746,151.35,592,1419.23,2416,199.4,718,1908.78,2900,2834.02,733,653.7,23.07
Lakhimpur,89,1616,269.58,1019,2159.77,2172,451.29,1740,3394.35,6700,6850.65,971,691.83,10.1
Majuli,13,39,2.05,158,647.34,89,2.83,189,785.58,1165,1300.16,270,131.99,10.15
Morigaon,69,704,144.37,390,680.3,904,185.3,951,1386.32,4931,3889.39,2189,1135.92,29.21
Nagaon,150,3042,168.95,1146,2095.41,3880,216.66,2325,4230.57,8410,9373.8,1301,790.94,8.44
Nalbari,84,693,127.73,759,2097.16,1299,535.81,1648,4089.17,6139,7683.28,1084,585.54,7.62
Sivasagar,95,685,136.29,383,1204.39,868,204.31,796,2361.24,3979,4308.49,492,344.95,8.01
Sonitpur,122,2094,402.74,688,1616.99,2632,431.91,1180,2563.48,6156,5551.65,2086,1063.32,19.15
South Salmara,10,379,29.5,132,513.56,471,32.73,182,693.79,579,447.87,247,82.86,18.5
Tinsukia,149,1012,122.05,721,1708.13,1609,214.82,1752,3755.55,5713,6028.85,696,371.37,6.16
Udalguri,45,1402,131.97,377,728.85,1711,133.83,599,1286.72,3242,3269.69,1016,742.88,22.72
West Karbi Anglong,22,316,11.2,241,533.06,462,13.05,358,729.85,2179,1248.55,1104,326.34,26.14
