District,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,52,40873,474688,25714,119209,698120,73358,19452,179534
Barpeta,121,98009,1086348,58726,388104,1690683,253659,37349,523462
Biswanath,56,53029,325733,30259,126301,480962,83395,23055,202385
Bongaigaon,55,33337,308025,17580,133111,473977,84871,15098,181546
Cachar,161,94298,604847,55715,285634,1002316,192424,31040,410972
Charaideo,35,26774,174872,13819,71747,267502,46612,8430,106951
Chirang,32,23952,263696,16853,61929,379892,47276,9070,94951
Darrang,70,67081,573126,38722,207452,905909,136417,19345,293878
Dhemaji,45,62997,328846,33264,202168,557150,128601,28163,293328
Dhubri,85,81378,794815,42307,371100,1327055,254065,28743,481221
Dibrugarh,183,112642,676074,71101,292288,1032557,198004,44336,449266
Dima Hasao,27,13823,88683,6340,37644,125832,20491,8186,59653
Goalpara,67,50488,510920,26032,219738,818801,142636,19022,289248
Golaghat,118,77070,403694,46315,200332,646749,136894,30121,307523
Hailakandi,44,32418,263040,18609,100371,429491,67674,12467,145256
Hojai,61,54833,327080,27593,153374,554607,100758,14410,222617
Jorhat,135,69041,409296,40273,218996,637550,149972,29355,317392
Kamrup Metro,167,80481,853222,49951,247499,1285112,164763,35245,363225
Karbi Anglong,63,39816,317313,23947,104303,433981,79591,27345,171464
Karimganj,87,44530,352533,24644,125258,602485,86071,19359,189147
Kokrajhar,51,43973,483948,27919,125980,798598,82410,11169,181122
Lakhimpur,89,88501,388871,46827,275761,642648,175463,31230,395492
Majuli,13,8555,81418,3955,26591,125083,17504,5528,40674
Morigaon,69,45026,356678,23463,116281,564096,79439,16988,178295
Nagaon,150,129321,772467,75011,372921,1399217,234658,43262,545504
Nalbari,84,49548,476850,29910,138659,710926,94761,16036,204243
Sivasagar,95,74302,323017,45917,180798,503895,123501,18297,273397
Sonitpur,122,120736,704529,70240,280870,1049460,177262,31932,433538
South Salmara,10,5197,155517,1964,44510,242183,29261,3441,53148
Tinsukia,149,89793,608541,47368,236187,901286,146370,29162,355142
Udalguri,45,67931,584691,39513,161477,884033,104065,17085,246493
West Karbi Anglong,22,14999,117989,10196,36549,170025,27769,10538,62086
