district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Minority Disb No.,Tot Minority Disb Amt.
Baksa,52,153,178.23,1146.73,5,13.19,0,0,1,0,15,5,1537,1343.15
Barpeta,121,86,237.62,21843.98,23,10.41,7,2.15,0,0,12,399.72,29143,22493.88
Biswanath,56,93,94.97,1781.08,6,8.77,5,21.45,1,1.6,41,77.56,2838,1985.43
Bongaigaon,55,361,519.54,10314.21,24,12.88,16,54.65,0,0,17,83.76,9569,10985.04
Cachar,161,1075,1782.11,24094.95,42,52.47,28,84.83,1,0.34,8,96.79,26827,26111.49
Charaideo,35,54,67.94,719.23,18,5.5,6,26.69,1,0,0,0,805,819.36
Chirang,32,173,95.2,1408.79,12,6.3,2,4.3,0,0,0,0,2129,1514.59
Darrang,70,72,138.55,9107.03,138,41.2,0,0,0,0,15,100.5,14117,9387.28
Dhemaji,45,40,64.27,170.82,4,16.22,8,54.44,0,0,2,6.5,306,312.25
Dhubri,85,74,118.86,17392.26,2,1,2,4.01,0,0,9,6.99,24788,17523.12
Dibrugarh,183,501,586.97,5261.48,121,169.76,184,328.9,0,0,21,116.43,4814,6463.54
Dima Hasao,27,1825,2129.98,311.61,1,0,4,4.5,0,0,0,0,2040,2446.09
Goalpara,67,853,526.1,8566.12,5,1.66,5,20.12,27,1.59,3,18.3,10785,9133.89
Golaghat,118,424,291,3409.09,185,78.97,23,17.24,1,0.8,11,216.07,5758,4013.17
Hailakandi,44,104,63.33,8456.82,2,18,3,4,0,0,1,0.45,11544,8542.6
Hojai,61,148,215.35,4977.32,19,13.57,11,8.93,1,1,1,10,8911,5226.17
Jorhat,135,339,429.47,3461.11,248,217.99,69,247.46,3,3.17,27,964.73,3497,5323.93
Kamrup Metro,167,301,377.59,14648.21,220,109.1,19,56.94,0,0,45,105.08,21350,15296.92
Karbi Anglong,63,1532,1037.11,641.59,46,48.28,3,6,0,0,5,10.74,2053,1743.72
Karimganj,87,200,241.82,8548.78,21,3.89,8,17.2,1,4,3,11,10173,8826.69
Kokrajhar,51,1078,1422.96,3736.7,5,5.41,4,10.7,0,0,0,0,5146,5175.77
Lakhimpur,89,365,399.46,5010.17,27,54.51,15,8.38,3,1.45,2,0.72,7706,5474.69
Majuli,13,2,5,35.51,1,0.16,0,0,0,0,0,0,30,40.67
Morigaon,69,40,42.78,3836.15,59,19.93,10,33.47,0,0,25,20,6019,3952.33
Nagaon,150,232,196.72,21703.27,61,31.99,75,158.68,5,3,37,125.21,40044,22218.87
Nalbari,84,38,64.72,7089.57,30,10.06,5,0.74,0,0,42,470.99,7143,7636.08
Sivasagar,95,145,172.45,8175.22,107,2781.64,34,55.29,1,0.05,2,3.8,5923,11188.45
Sonitpur,122,535,864.35,6232.04,266,422.56,47,153.16,0,0,5,140.41,7270,7812.52
South Salmara,10,3,8,1661.72,0,0,0,0,0,0,0,0,1802,1669.72
Tinsukia,149,568,1298.18,2213.02,335,3334.89,178,1063.76,0,0,37,78.1,3326,7987.95
Udalguri,45,3023,1683.67,2125.55,0,0,0,0,0,0,0,0,5911,3809.22
West Karbi Anglong,22,143,166.4,79.44,1,1.43,3,0.46,0,0,0,0,182,247.73
