district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,52,1037,915.16,98,152.3,300,401.25,95,129.55,68,74.22,25,71.72,0,0,0,0,1476,1523.66,3099,3267.86
Barpeta,121,383,704.06,394,625.16,1184,1309.62,1965,1961.04,414,481.12,196,340.24,2,13.1,4,6.52,8221,4061.26,12763,9502.12
Biswanath,56,263,329.68,145,480.95,65,93.63,105,132.57,152,134.86,22,33.12,0,0,13,23.5,1709,1622.19,2474,2850.5
Bongaigaon,55,415,359.5,239,353.97,1955,869.79,445,431.94,102,111.84,35,42.25,2,115.57,4,4.58,4031,1976.77,7228,4266.21
Cachar,161,2034,2419.42,1837,2543.69,799,1071.84,321,461.61,427,774.32,222,294.11,10,502.34,19,37,2543,2822.22,8212,10926.55
Charaideo,35,343,406.37,198,268.02,34,70.78,30,41.63,54,58.09,21,36.68,1,0.7,8,16,582,521.8,1271,1420.07
Chirang,32,523,297.8,102,144.46,256,259.39,22,36.92,36,37.33,31,22.54,0,0,4,7.21,392,325.99,1366,1131.64
Darrang,70,526,940.98,326,500.27,676,1144.2,844,403.03,147,162.84,164,176.16,1,40.08,8,13.55,5656,3411.14,8348,6792.25
Dhemaji,45,531,583.02,406,582.31,137,240.19,1345,367.02,197,194.66,25,47.24,0,0,7,10.82,1808,1272.59,4456,3297.85
Dhubri,85,552,866.04,472,723.23,282,464.66,195,361.7,181,174.78,30,37.26,1,38.2,10,28.04,471,717.15,2194,3411.06
Dibrugarh,183,1366,1590.84,752,1085.79,787,864.61,1139,618.1,508,580.59,254,245.41,5,10.45,15,25.17,7335,6982.67,12161,12003.63
Dima Hasao,27,71,67.94,39,60.89,20,17.42,14,16.62,8,10.78,3,2.77,0,0,3,7,157,140.09,315,323.51
Goalpara,67,561,569.27,316,445.15,297,350.17,194,169.06,234,213.74,50,53.28,6,0.95,5,6.72,1502,2143.07,3165,3951.41
Golaghat,118,1213,1182.3,627,1015.72,792,411.46,981,694.52,146,169.21,32,26.21,3,456.85,2,3,14057,6268.03,17853,10227.3
Hailakandi,44,428,539.14,393,588.9,318,531.29,66,132.89,239,318.6,28,40.08,2,791.93,8,11.77,942,902.64,2424,3857.24
Hojai,61,463,858.44,554,989.57,170,277.11,336,251.62,121,148.99,43,71.31,1,0.26,3,3.65,554,751.57,2245,3352.52
Jorhat,135,1085,1285.91,614,902.31,1266,852.88,580,638.15,217,249.09,65,91.65,2,2.36,19,110.97,11938,7486.19,15786,11619.51
Kamrup Metro,167,964,1388.5,710,1212.35,2490,1437.26,1943,965.56,712,928.9,147,171.07,4,37.7,18,32.31,6323,5049,13311,11222.65
Karbi Anglong,63,117,135.16,55,83.19,649,335.92,189,104.91,29,40.76,25,19.15,0,0,5,9,1201,1523.57,2270,2251.66
Karimganj,87,1204,1664.18,1355,1925.24,323,448.86,199,292.11,188,225.3,90,98.7,9,73.3,10,10.89,1685,1071.91,5063,5810.49
Kokrajhar,51,206,211.75,64,79.52,410,271.98,47,55.83,147,172.97,21,77.37,0,0,0,0,476,667.81,1371,1537.23
Lakhimpur,89,986,1443.78,952,1516.18,337,484.34,870,458.48,343,460.93,165,266.62,1,0.26,8,14.65,3705,1927.15,7367,6572.39
Majuli,13,49,106.41,59,116.68,6,9.24,23,41.6,13,12.43,15,17.5,0,0,1,2,90,67.43,256,373.29
Morigaon,69,1852,2016.88,1134,1530.72,830,1104.23,341,577.89,257,340.41,173,232.49,1,14.53,8,11.17,2456,2041.48,7052,7869.8
Nagaon,150,1880,2685.34,1675,2744.59,1511,1356.53,2178,1804.35,472,572.81,442,654.39,9,466.07,32,58.08,20175,5544.12,28374,15886.28
Nalbari,84,605,675.56,259,428.43,869,796.21,2092,716.36,365,254.32,153,150.81,2,13.3,10,15.69,8528,3560.3,12883,6610.98
Sivasagar,95,1103,1015.95,486,670.98,1419,870.89,1375,1043.66,582,556.18,75,63.63,1,0.74,12,11.44,4807,2712.23,9860,6945.7
Sonitpur,122,1048,1186.84,441,677.14,319,474.31,1044,614.9,422,497.57,108,210.68,1,0.23,5,18.37,3892,2527.77,7280,6207.81
South Salmara,10,0,0,0,0,4,14.88,3,1.39,3,10.52,1,2.18,0,0,0,0,61,207.11,72,236.08
Tinsukia,149,1154,1708.75,1065,1608.31,881,1085.1,1556,618.74,348,610.36,108,114.88,1,0.24,4,6.45,2771,7652.34,7888,13405.17
Udalguri,45,116,146.36,20,34.16,183,350.91,51,91.7,168,173.63,88,43.77,0,0,0,0,981,1217.19,1607,2057.72
West Karbi Anglong,22,2,2.86,0,0,161,62.92,3,4.46,1,4.41,7,1.5,0,0,0,0,63,43.67,237,119.82
