district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Baksa,52,3422,4457.03,171,297.44,137,90.95,72,31.05,14,2.63,1270,1960.78,864,1123.35,4238,4565.89,1211,640.57,6,66.1,0,0
Barpeta,121,4903,5275.81,315,330.3,798,407.44,853,479.34,486,148.04,1854,3064.81,928,1465.5,6651,6535.23,2116,1246.26,55,752.96,4,87.83
Biswanath,56,4133,4784.63,797,838.62,233,196.82,69,304.42,1,0.42,367,510.8,186,237.56,6568,6153.36,2059,1054.81,22,273.85,0,0
Bongaigaon,55,2210,2576.51,185,128.02,34,16.63,86,92.48,15,7.24,688,825.03,409,514.19,2744,3042.16,251,126.2,65,813.39,6,44.63
Cachar,161,2431,2640.74,400,339.9,101,64.71,136,133.39,19,6.91,1734,2248.05,709,928.05,4697,3960.27,1231,746.08,62,719.4,3,24.79
Charaideo,35,1783,1905.12,175,111.66,117,48.21,13,11.61,0,0,395,577.76,168,288.81,2415,2290.89,337,189.21,31,340.71,0,0
Chirang,32,2255,2478.74,237,192.44,75,40.58,33,31.12,2,2.42,1445,1760.81,1174,1395.68,2485,2695.36,595,489.23,12,286.92,0,0
Darrang,70,2636,3420.01,291,327.36,206,218.46,99,91.1,7,3.77,983,1472.86,683,996.6,4460,4453.38,1440,1070.75,38,476.05,4,47.5
Dhemaji,45,3425,3854.97,427,334.95,217,85.22,27,45.25,1,1.25,880,1910.26,415,786.83,4786,4598.5,1031,475.19,12,122.82,1,9.57
Dhubri,85,3745,3491.43,675,315.49,514,154.35,391,201.9,343,155.61,1827,2457.83,1064,1204.4,5696,4724.94,1690,766.27,32,567.88,1,8.78
Dibrugarh,183,4752,5553.34,564,490.03,253,91.96,375,992.61,55,26.64,1500,2727.42,675,1010.03,6379,6658.7,572,280.3,149,2282.95,9,149.04
Dima Hasao,27,262,294.93,100,125.68,6,4.96,16,16.96,4,0.37,219,315.02,56,55.28,695,532.92,124,45.36,14,108.69,0,0
Goalpara,67,3100,3136.69,360,383,196,86.76,48,44.3,6,4.22,1087,1241.11,646,790.08,4935,4461.61,1106,553.01,17,125.16,2,13.34
Golaghat,118,4207,5759.34,447,395.95,106,97.36,121,153.18,7,4.13,1257,1789.47,579,820.24,6101,7454.59,684,384.87,59,796.02,1,8.83
Hailakandi,44,1509,1398.38,209,107.25,148,56.88,157,137.93,21,17.25,747,1052.91,359,475.64,2288,1834.52,711,341.44,11,210.49,2,41.67
Hojai,61,2086,2221.45,207,137.89,124,78.61,225,161.56,5,7.17,675,857.54,194,225.87,2873,2816.37,389,206.76,17,149.4,0,0
Jorhat,135,3501,4796.13,382,355.2,80,72.28,261,777.66,9,6.44,1083,1562.98,453,585,5035,5930.25,627,469.37,69,751.47,8,61.94
KARIMGANJ,87,1750,1610.49,216,169.82,126,48.44,192,194,56,14.7,848,1244.24,268,348.75,3332,2362.78,1344,601.21,19,228.98,1,8.89
