district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,52,841774,67492,50291
Barpeta,121,2331642,199152,162469
Biswanath,56,700555,34549,60661
Bongaigaon,55,793430,49929,102721
Cachar,161,1944300,106816,522646
Charaideo,35,419408,5276,35769
Chirang,32,469092,29662,41856
Darrang,70,1327451,68723,130098
Dhemaji,45,1007711,33790,130320
Dhubri,85,2126056,84166,312577
Dibrugarh,183,1639546,93408,277745
Dima Hasao,27,189857,32800,48460
Goalpara,67,1143859,67382,100834
Golaghat,118,1402821,94371,330770
Hailakandi,44,790802,49931,207173
Hojai,61,890924,81334,204277
Jorhat,135,1285716,69897,362089
Kamrup Metro,167,1994034,162992,159318
Karbi Anglong,63,594278,44694,36270
Karimganj,87,1281461,71515,364340
Kokrajhar,51,977304,57052,63298
Lakhimpur,89,1267675,60670,247356
Majuli,13,176238,10733,27456
Morigaon,69,1295495,92797,469136
Nagaon,150,2764492,365900,705985
Nalbari,84,985550,87821,72864
Sivasagar,95,1040722,54006,294280
Sonitpur,122,1518593,164678,225528
South Salmara,10,309472,26236,28899
Tinsukia,149,1408609,90204,359916
Udalguri,45,955528,43485,45894
West Karbi Anglong,22,216411,15268,7451
