district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Baksa,52,5135,2439.24,7983,4526.95,138,63.66,86,39.62,13342,7069.47
Barpeta,121,17026,9030.82,29295,10179.93,443,206.23,628,476.92,47392,19893.9
Biswanath,56,5938,3112.2,11212,4724.85,292,138.85,746,316.55,18188,8292.45
Bongaigaon,55,2497,1105.01,4537,1683.24,176,102.51,396,297.66,7606,3188.42
Cachar,161,15144,8258.65,14354,7101.08,500,372.02,2332,1898.1,32330,17629.85
Charaideo,35,1377,896.31,3203,1583.77,40,24.88,393,175.74,5013,2680.7
Chirang,32,4517,2154.1,3886,2537.27,1040,545.19,359,182.81,9802,5419.37
Darrang,70,11405,5795.38,19007,8521.12,194,92.08,648,450.18,31254,14858.76
Dhemaji,45,6871,3467.24,4460,2496.42,38,43.23,354,244.12,11723,6251.01
Dhubri,85,12133,5895.95,18778,9326.82,4256,2271.54,2139,1155.95,37306,18650.26
Dibrugarh,183,29404,16070.62,25432,8861.54,340,223.01,2060,1565.2,57236,26720.37
Dima Hasao,27,707,152.22,411,216.97,221,5.19,38,18.53,1377,392.91
Goalpara,67,7298,3088.1,6819,4711.49,379,199.86,171,180.03,14667,8179.48
Golaghat,118,22960,9726.15,34472,12452.9,1675,817.08,884,728.1,59991,23724.23
Hailakandi,44,5719,2712.39,3541,1597.04,63,53.02,223,167.88,9546,4530.33
Hojai,61,6726,3468.41,10286,4905.18,1618,946.34,1827,1110.86,20457,10430.79
Jorhat,135,18043,7580.48,24870,8351.16,1775,884.2,813,1241.55,45501,18057.39
KARIMGANJ,87,5652,2940.55,14053,6126.14,207,150.81,1842,1409.21,21754,10626.71
Kamrup,167,23355,12440.48,21204,8271.56,313,202.73,434,643.06,45306,21557.83
Kamrup Metro,417,5005,2578.92,8434,8301.38,163,284.63,1646,3706.16,15248,14871.09
Karbi Anglong,63,6893,3063.79,2414,1102.31,2,3,26,30.98,9335,4200.08
Kokrajhar,51,5021,2355.9,4268,2533.35,1750,903.29,509,211.88,11548,6004.42
Lakhimpur,89,16175,9627.68,17421,6373.05,344,220.06,896,684.89,34836,16905.68
Majuli,13,1661,716.24,1107,858.65,3,3,37,38.19,2808,1616.08
Morigaon,69,7719,4339.42,21277,10483.7,1220,626.79,1806,1397.81,32022,16847.72
Nagaon,150,32630,14453.03,54156,19447.42,1984,1152.44,3070,2132.97,91840,37185.86
Nalbari,84,10248,4536.62,22509,6132.76,249,98.55,173,177.53,33179,10945.46
Sivasagar,95,8563,3587.91,20979,7727.78,113,73.73,1833,908.01,31488,12297.43
Sonitpur,122,7280,4129.51,19947,8480.6,1083,492.85,759,570.58,29069,13673.54
South Salmara,10,1326,421.08,345,453.23,0,0,0,0,1671,874.31
Tinsukia,149,15576,9468.52,14987,5160.63,192,3639.13,1167,844.59,31922,19112.87
Udalguri,45,16073,10302.55,8881,4742.19,172,30.7,127,84.82,25253,15160.26
West Karbi Anglong,22,1623,748.66,1370,469.45,1,0,2,0.64,2996,1218.75
