district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,52,57806957,2672649.81,2254404,42070.79,3581,3142.17,4545221,1182878.43,197622,17229.14,320942,4733.78
Barpeta,121,436809167,20193247.97,7513647,174628.18,3553,5400.53,28239747,8184408.99,494667,21759888.54,1226186,16529.8
Biswanath,56,189881993,5745063.35,2206824,41605.74,1303,1575.66,8821882,2047711.36,372531,81424.55,324669,5438.59
Bongaigaon,55,156503601,5944526.16,2583572,57233.21,3706,4365.94,12993800,3228647.38,294832,73794.19,643425,9853.42
Cachar,161,320940768,12244115.56,5972789,122316.92,6982,6833.54,38537422,9034747.59,793415,428125.06,1245360,21035.57
Charaideo,35,2291618,94315.1,1310781,26286.2,640,274.9,309769,342519.22,84487,16066.74,294272,4538.8
Chirang,32,794165,35281.32,962171,19017.17,868,1132.03,80505,72252.92,108556,9867.5,299578,4766.55
Darrang,70,165200919,7331863.52,2789673,60685.12,2306,2961.51,13476059,4556473.01,298446,59521.51,434066,6629.01
Dhemaji,45,35170419,1261226.52,3191045,57254.17,1575,1473.01,3992847,1071738.41,278905,71866.85,434241,6420.09
Dhubri,85,132419557,6290960.02,5079341,118282.5,3277,2585.25,10071925,2575985.54,423864,102417.23,734657,11551.33
Dibrugarh,183,537992954,17855399.36,6136259,127722.66,8996,7387.84,70290091,17167443.29,1768698,241962.23,1913145,30929.97
Dima Hasao,27,27839,1916.77,1213386,26775.53,747,954.71,3846,142909.68,31302,15298.3,245574,3646.63
Goalpara,67,157429415,7751336.82,2814707,69946.35,2978,4983.4,11594749,3632105.83,239923,85490.37,435902,6955.05
Golaghat,118,259135824,9318876.58,3905332,68674.53,2145,2838.32,40259974,9136274.23,835510,12763702.31,844546,13853.42
Hailakandi,44,19995198,867360.56,2237701,37470.73,1220,1574.18,2344471,611473.79,120038,54676.13,196393,3257.69
Hojai,61,180780606,8673274.71,3477843,79270.61,6475,7080.96,25587581,7153785.11,298751,106995.54,419236,6539.1
Jorhat,135,445154874,14387448.85,4483411,84389.99,7037,4426.76,62054208,12806163.95,1035079,32328803.4,1547995,24241.87
Kamrup Metro,167,437635692,16327420.9,5354467,112943.81,2842,4855.94,33800860,8872977.6,998242,97356706.5,1109234,18237.02
Karbi Anglong,63,89604702,3788581.27,2681274,54920.83,842,1375.78,10254918,2115320.12,177250,56339.38,493171,8305.6
Karimganj,87,132366976,6493501.81,3628672,79626.07,2426,2165.97,23450686,21398834.5,336351,60473.35,432992,7138.21
Kokrajhar,51,71557586,3100370.38,2420439,49281.44,966,1251.41,6936347,1726780.45,162713,69047.21,782617,9598.68
Lakhimpur,89,162545466,5755028.06,4223530,81520.3,1783,2361.58,13793735,3510374.88,472649,152018.98,628893,9973.61
Majuli,13,99074,3085.87,516636,8027.91,615,266.6,15272,199397.96,21537,9560.37,64881,857.49
Morigaon,69,199379659,8732899.98,1752682,41046.72,2775,3639.84,11068596,4637817.14,308261,94715.92,306270,4488.62
Nagaon,150,301539331,11853663.98,6102878,137232.25,4819,5100.66,23847393,6387632.28,644389,20847636.41,1162676,18784.63
Nalbari,84,111693172,4170520.41,2718212,55424.07,1890,1786.18,10234139,2726938.52,310199,21783167.64,621347,9260.86
Sivasagar,95,247357102,8518591.92,3748690,76602.63,3206,3308.52,27996647,6521242.54,750660,83320.99,1224537,20553.69
Sonitpur,122,301600411,10756998.82,5877704,114749.33,4264,4488.6,29753150,6442241.78,722976,15445954.31,1466260,21568.21
South Salmara,10,97235,4752.45,609709,17085.26,85,3.17,15712,133938.92,10797,611.04,70624,1112.06
Tinsukia,149,419336448,16050782.6,4338800,86658.29,7623,6064.54,79929742,21059124.27,881642,225027.94,982720,15420.52
Udalguri,45,7502366,373758.49,2782690,47729.28,785,1049.36,912715,353190.75,107222,71535.54,338674,5006.31
West Karbi Anglong,22,41155,1216.03,971607,17069.1,0,0,4485,675.45,25629,962.95,118171,1647.9
