District,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt,Msme (NPS) No.,Msme (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total Acp (NPS) Disb No.,Total Acp (NPS) Disb Amt
Baksa,52,0,0,1,1,1,1,1,10.8,27,341.31,227,773.3,1539,4222.22,1796,5349.63
Barpeta,121,0,0,0,0,0,0,1,6.31,84,1254.94,1119,4257.74,10622,26960.38,11826,32479.37
Biswanath,56,0,0,0,0,0,0,0,0,31,215.23,284,889.85,2571,5926.66,2886,7031.74
Bongaigaon,55,0,0,1,1,1,1,1,13.95,144,1648.39,935,3157.11,8101,21949.63,9183,26771.08
Cachar,161,0,0,0,0,0,0,0,0,134,1605.05,2054,6443.05,32064,55330.24,34252,63378.34
Charaideo,35,0,0,0,0,0,0,0,0,10,59.71,59,187.67,1876,3206.45,1945,3453.83
Chirang,32,0,0,0,0,0,0,0,0,17,173.21,114,319.46,1979,4268.39,2110,4761.06
Darrang,70,0,0,0,0,0,0,0,0,87,1112.77,923,2747.07,5686,15300.16,6696,19160
Dhemaji,45,0,0,1,1,1,1,1,15.97,31,263.35,534,2482.19,4048,9530.19,4616,12293.7
Dhubri,85,1,1.2,0,0,0,0,0,0,94,659.77,519,1591.86,7633,15857.32,8247,18110.15
Dibrugarh,183,0,0,2,2,2,2,5,78.48,261,3012.04,2357,8975.08,20663,46603.35,23290,58672.95
Dima Hasao,27,0,0,0,0,0,0,0,0,6,82.23,188,476.26,821,2118.11,1015,2676.6
Goalpara,67,0,0,0,0,0,0,1,0.29,47,391.76,415,1362.68,4179,9520.49,4642,11275.22
Golaghat,118,0,0,0,0,0,0,2,9.5,52,860.93,948,2765.28,8397,20412.86,9399,24048.57
Hailakandi,44,0,0,0,0,0,0,0,0,7,137.04,324,1024.01,5689,10197.76,6020,11358.81
Hojai,61,0,0,0,0,0,0,0,0,26,267.6,588,1632.91,3282,8622.41,3896,10522.92
Jorhat,135,0,0,2,2,2,2,4,44.93,210,2761.25,1900,6310.91,14902,46160.07,17020,55281.16
Kamrup Metro,167,1,1.9,3,3,3,3,7,103.19,190,4300.63,3799,15960.4,27710,199199.04,31713,219571.16
Karbi Anglong,63,0,0,0,0,0,0,0,0,26,414.68,557,1468.62,2783,10118.48,3366,12001.78
Karimganj,87,0,0,0,0,0,0,0,0,20,225.07,521,1672.73,10065,15334.55,10606,17232.35
Kokrajhar,51,0,0,0,0,0,0,0,0,47,704.91,511,2333.99,4902,13795.7,5460,16834.6
Lakhimpur,89,0,0,0,0,0,0,2,18.24,116,1034.73,1060,3291.15,8001,20053.15,9179,24397.27
Majuli,13,0,0,0,0,0,0,0,0,1,5,303,727.49,185,597.65,489,1330.14
Morigaon,69,0,0,0,0,0,0,0,0,39,535.99,1169,3446.4,3723,10476.4,4931,14458.79
Nagaon,150,0,0,1,5.94,0,0,0,0,135,1625.95,1376,4859.72,14134,36988.22,15646,43479.83
Nalbari,84,0,0,1,1,1,1,2,71.78,93,1302.32,1132,4980.14,6911,17201.64,8140,23557.88
Sivasagar,95,0,0,0,0,0,0,3,82.81,109,1427.81,1429,6001.56,13935,35989.11,15476,43501.29
Sonitpur,122,0,0,2,9.7,0,0,2,2.02,208,2312.72,1699,5558.8,13588,35181.16,15499,43064.4
South Salmara,10,0,0,0,0,0,0,0,0,2,0.51,8,14.22,192,617.02,202,631.75
Tinsukia,149,0,0,1,6.61,0,0,0,0,148,3188.88,1600,5039.55,13435,45962.83,15184,54197.87
Udalguri,45,0,0,0,0,0,0,2,1.1,8,114.18,132,451.58,1965,5033.66,2107,5600.52
West Karbi Anglong,22,0,0,0,0,0,0,0,0,4,32.72,48,71.19,309,687.66,361,791.57
