District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Baksa,52,0,0,68,175.96,1034,8629.3,0,0,91,25.79,6225,2182.53,7418,11013.58
Barpeta,121,0,0,393,1181.86,3378,31429.76,3,451.95,527,254.47,37770,12794.07,42071,46112.11
Biswanath,56,0,0,143,390.39,1465,12351.23,0,0,0,0,16771,8090.78,18379,20832.4
Bongaigaon,55,0,0,128,549.6,2170,19113.77,1,15,120,57.56,20244,7019.58,22663,26755.51
Cachar,161,0,0,1009,2889.26,4126,27023.92,1,0.06,15,4.67,71545,27223.35,76696,57141.26
Charaideo,35,0,0,72,200.45,414,3505.82,0,0,64,24.91,4153,3265.07,4703,6996.25
Chirang,32,0,0,54,165.05,383,4019.08,0,0,146,76.98,7394,2677.83,7977,6938.94
Darrang,70,0,0,326,909.32,1717,14583,0,0,57,28.33,23612,8092.23,25712,23612.88
Dhemaji,45,0,0,152,383.19,1754,16149.26,1,95,28,7.36,6408,2274.01,8343,18908.82
Dhubri,85,0,0,197,645.13,2430,21212.01,4,13.29,217,120.37,35900,12980.94,38748,34971.74
Dibrugarh,183,0,0,846,2700.05,5134,46363.18,0,0,21,7.81,30752,14938.36,36753,64009.4
Dima Hasao,27,0,0,25,65.96,721,4119.32,1,0.46,0,0,39,101.55,786,4287.29
Goalpara,67,0,0,125,463.67,1088,9965.82,1,0.06,478,311.7,16921,6790.71,18613,17531.96
Golaghat,118,0,0,325,956.08,2589,21458.68,1,4,7,1.82,23350,8701.18,26272,31121.76
Hailakandi,44,0,0,90,206.32,1009,7211.16,1,2,24,13.03,12609,4809.27,13733,12241.78
Hojai,61,0,0,138,410.09,990,8515.72,1,1.19,0,0,15082,18585.94,16211,27512.94
Jorhat,135,0,0,740,2486.95,4809,40799.7,2,95.92,0,0,27838,10629.71,33389,54012.28
Kamrup Metro,167,0,0,1101,3411.17,4137,33375.01,5,27.91,21,24.52,75414,23119.61,80678,59958.22
Karbi Anglong,63,0,0,112,293.03,2448,23197.37,0,0,0,0,3274,1240.35,5834,24730.75
Karimganj,87,0,0,99,293.42,1344,7203.52,5,27.35,15,2.9,34416,16859.77,35879,24386.96
Kokrajhar,51,0,0,91,278.41,1179,11766.07,1,800,60,42.48,14846,5324.87,16177,18211.83
Lakhimpur,89,0,0,307,846.99,3566,30216.7,1,0.58,106,45.49,18785,14048.5,22765,45158.26
Majuli,13,0,0,42,89.3,262,1576.03,0,0,0,0,1284,7125.59,1588,8790.92
Morigaon,69,0,0,126,381.37,1718,12311.32,1,0.41,29,11.67,11077,18524.79,12951,31229.56
Nagaon,150,0,0,323,1119.33,4249,34249.31,2,112.92,3,1.94,49019,24894.88,53596,60378.38
Nalbari,84,0,0,315,1032.75,2943,23467.87,3,36.38,7,3.53,25519,10018.29,28787,34558.82
Sivasagar,95,0,0,300,826,2898,23902.02,3,3.23,20,7.62,17520,9084.34,20741,33823.21
Sonitpur,122,0,0,456,1322.12,3964,34009.25,3,3.92,5,3.17,31400,22176.65,35828,57515.11
South Salmara,10,0,0,17,51.19,250,2581.24,0,0,8,5.53,239,348.42,514,2986.38
Tinsukia,149,0,0,562,1838.18,3234,27650.7,1,0,25,6.74,19633,10889.32,23455,40384.94
Udalguri,45,0,0,220,557.94,1661,16453.33,0,0,0,0,7136,2910.17,9017,19921.44
West Karbi Anglong,22,0,0,17,55.12,612,6396.95,0,0,9,0.78,11,3.85,649,6456.7
