district,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amount,PMAY O/S No.,PMAY O/S Amount
Baksa,52,1034,8691.17,56,954.08,973,8704.44,13,151.69,0,0,13,151.69
Barpeta,121,3388,30788.52,253,5700.95,2487,24442.85,54,632.44,4,34.13,54,632.44
Biswanath,56,1464,12417.53,74,1925.69,1299,12368.7,15,197.79,1,5,15,197.79
Bongaigaon,55,4661,19238.21,259,6145.78,1503,15597.68,52,649.35,8,114.17,56,701.31
Cachar,161,4207,27494.84,392,9137.2,495,5016.91,148,1962.72,11,174.33,150,1975.62
Charaideo,35,413,3502.76,12,352.99,285,2694.27,2,40.42,0,0,2,40.42
Chirang,32,383,4019.08,19,540.46,333,3597.16,1,0.02,0,0,1,0.02
Darrang,70,1715,14560.67,144,3608.01,1185,12192.29,17,183.8,2,18.06,18,183.8
Dhemaji,45,1750,16117.39,46,1008.46,1443,14620.42,43,410.91,0,0,43,410.91
Dhubri,85,2425,21172.18,76,1977.92,1829,16874.77,88,596.91,7,55,88,596.91
Dibrugarh,183,5253,46309.82,866,20249.19,2233,21828.28,94,1362.58,6,69.6,98,1382
Dima Hasao,27,722,4117.22,14,411.91,383,2922.03,2,26.71,0,0,2,26.71
Goalpara,67,1086,9948.85,39,777.35,863,8676.78,14,208.34,0,0,14,208.34
Golaghat,118,5189,21446.18,213,5513.79,2148,21417.6,30,295.83,1,9.7,30,295.83
Hailakandi,44,1004,7188.03,26,587.04,682,5644.52,27,239.88,0,0,27,239.88
Hojai,61,994,8573.02,90,1578.71,811,7600.53,20,221.51,4,40.25,20,221.51
Jorhat,135,7371,41239.76,802,19357.41,3692,42555.09,73,914.37,3,19.1,79,983.04
KARIMGANJ,87,1334,7147.11,92,2339.94,755,5841.86,27,275.36,1,20.73,27,275.36
Kamrup,167,6688,45606.86,721,16903.04,3308,35650.11,96,1266.44,3,34.03,97,1279.97
Kamrup Metro,417,25858,281523.62,6625,184301.75,613,6392.72,1333,23892.29,71,1050.61,1341,23827.38
Karbi Anglong,63,2448,23195.37,59,1604.77,1791,18298.2,6,80.89,0,0,6,80.89
Kokrajhar,51,1181,11769.64,128,3594.87,1008,11646.59,2,24.32,0,0,3,37.06
Lakhimpur,89,3549,30093.59,165,4976.66,2459,25881.28,55,595.62,1,6,55,595.62
Majuli,13,263,1651.42,4,88.59,83,823.23,10,101.28,1,6,10,101.28
Morigaon,69,1706,11587.69,81,1487.97,1188,8108.69,68,705.6,2,29.57,70,719.45
Nagaon,150,6821,34549.63,376,7964.07,1308,12649.88,62,702.69,3,44.65,59,667.37
Nalbari,84,2938,23374.61,259,4923.9,2336,21549.13,51,949.65,2,21.31,51,949.65
Sivasagar,95,5577,23904.37,322,7373.84,2087,18901.8,45,738.32,4,87.43,45,738.32
Sonitpur,122,4000,33952.38,650,14354.48,2738,31055.07,61,757.12,4,90.21,64,797.67
South Salmara,10,250,2581.24,0,0,233,2503.81,0,0,0,0,0,0
Tinsukia,149,3223,27545.88,610,14110.22,1024,9978.83,74,930.58,3,56.64,75,942.93
Udalguri,45,1661,16453.33,3,102.36,1581,15976.54,3,26.23,0,0,3,26.23
West Karbi Anglong,22,612,6396.95,1,32.36,612,6396.92,0,0,0,0,0,0
