district,Total Branch,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.,MUDRA NPA Amt.%
Baksa,52,3086,493.24,985,314.47,2108,3595.57,1139,1357.33,441,1182.51,52,115.03,5635,5271.32,2176,1786.83,33.9
Barpeta,121,14430,3195.73,8009,1703.27,8984,11897.04,3468,4117.2,1540,5454.65,140,501.22,24954,20547.42,11617,6321.69,30.77
Biswanath,56,2826,948.53,1069,313.29,2324,2966.22,1340,955.31,307,1258.37,46,170.66,5457,5173.12,2455,1439.26,27.82
Bongaigaon,55,7259,857.13,1391,305.09,2865,3406.93,2130,1194.07,748,3198.41,45,110.89,10872,7462.47,3566,1610.05,21.58
Cachar,161,13478,4965.84,4960,1021.69,11971,21090.89,5799,4495.14,1140,5041.48,91,320.15,26589,31098.21,10850,5836.98,18.77
Charaideo,35,3129,474.38,598,207.68,1503,1774.39,1308,605.46,249,1161.69,20,50.74,4881,3410.46,1926,863.88,25.33
Chirang,32,1636,382.19,683,157.71,2023,2390.47,1017,1092.66,91,515.51,15,69.34,3750,3288.17,1715,1319.71,40.14
Darrang,70,5947,1191.32,1779,828.05,3971,5745.1,2255,2641.03,968,3390.84,209,473.5,10886,10327.26,4243,3942.58,38.18
Dhemaji,45,4265,866.89,868,351.1,3145,4280.37,728,840.58,530,2654.75,59,239.02,7940,7802.01,1655,1430.7,18.34
Dhubri,85,6676,1555.83,2770,611.84,7838,8867.18,3971,3464.46,767,3630.11,129,331.63,15281,14053.12,6870,4407.93,31.37
Dibrugarh,183,18601,3184.15,5135,1168.33,6883,10871.32,6030,3739.84,2067,9616.22,424,942.24,27551,23671.69,11589,5850.41,24.71
Dima Hasao,27,813,158.08,116,29.66,911,1591.05,76,109.62,533,2149.24,17,52.87,2257,3898.37,209,192.15,4.93
Goalpara,67,6941,1438.6,2307,396.39,3541,4126.81,1148,1077.3,353,1139.43,23,40,10835,6704.84,3478,1513.69,22.58
Golaghat,118,16135,2600.84,6150,1167.89,6351,7373.62,2881,1623.86,1059,5888.24,160,681.22,23545,15862.7,9191,3472.97,21.89
Hailakandi,44,2431,699.54,873,242.25,4076,5039.61,1469,1291.92,515,1817.01,44,103.2,7022,7556.16,2386,1637.37,21.67
Hojai,61,4166,1579.24,868,231.56,3846,6739.97,1306,1516.92,686,3687.48,118,399.99,8698,12006.69,2292,2148.47,17.89
Jorhat,135,23451,3550.96,8954,1607.85,6800,9355.9,6180,3065.34,1562,6468.8,251,578.69,31813,19375.66,15385,5251.88,27.11
KARIMGANJ,87,9224,1877.24,3415,628.24,7777,7956.65,3683,2987.21,571,3143.39,40,115.05,17572,12977.28,7138,3730.5,28.75
Kamrup,167,36161,6142.04,17501,3122.07,12866,12511.98,5868,4783.34,1953,6049.62,254,802.84,50980,24703.64,23623,8708.25,35.25
Kamrup Metro,417,40953,7469.03,20851,6835.81,18659,24562.53,6482,6876.38,4681,19113.83,718,1961.51,64293,51145.39,28051,15673.7,30.65
Karbi Anglong,63,2409,437.97,343,70.24,1512,2416.55,233,389.58,1309,5426.96,53,196.21,5230,8281.48,629,656.03,7.92
Kokrajhar,51,2424,693.97,849,221.65,2224,2944.47,955,1231.83,194,909.68,28,61.36,4842,4548.12,1832,1514.84,33.31
Lakhimpur,89,5006,1300.77,1648,545.66,4582,6206.89,2299,2379.67,690,3207.59,149,558.28,10278,10715.25,4096,3483.61,32.51
Majuli,13,1871,181.8,162,66.34,529,741.23,245,244.09,105,466.85,25,59.95,2505,1389.88,432,370.38,26.65
Morigaon,69,4804,1466.64,1084,611.91,4773,6906.84,1249,1646.91,1467,5173.67,133,484.82,11044,13547.15,2466,2743.64,20.25
Nagaon,150,21313,3582.7,10946,2378.82,7858,10338.83,4142,3935.97,2024,8247.03,462,2008.64,31195,22168.56,15550,8323.43,37.55
Nalbari,84,14664,2441.43,9256,1713.28,4752,5934.99,2563,1989.63,722,2199.37,75,267.17,20138,10575.79,11894,3970.08,37.54
Sivasagar,95,5369,1309.51,1278,408.36,3855,5115.32,2294,1705.7,928,3787.55,154,251.88,10152,10212.38,3726,2365.94,23.17
Sonitpur,122,14680,2374.89,5255,1146.99,7037,8871.43,2946,2576.96,1322,5695.04,180,519.13,23039,16941.36,8381,4243.08,25.05
South Salmara,10,251,119.07,99,25.11,736,914.97,330,374.04,58,319,3,14.8,1045,1353.04,432,413.95,30.59
Tinsukia,149,9302,1685.49,1500,474.95,7008,10027.03,4064,2855.83,1523,7652.19,203,470.82,17833,19364.71,5767,3801.6,19.63
Udalguri,45,1774,534.65,890,304.16,2627,3503.45,1388,1733.98,138,912.81,12,62.75,4539,4950.91,2290,2100.89,42.43
West Karbi Anglong,22,299,39.97,78,11.02,185,303.87,30,41.89,303,1140.4,14,88.29,787,1484.24,122,141.2,9.51
