district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,52,2519,2517.58,0,0,0,0,59,42.88,25,32.13,426,474.86,0,0,1641,2376.45,29,25.85,716,640.22,5415,6109.97
Barpeta,121,7105,6682.83,155,97.9,0,0,904,501.01,134,372.42,658,1007.66,158,279.46,7076,6272.59,164,224.94,1445,2470.87,17799,17909.68
Biswanath,56,4689,3534.75,0,0,0,0,91,112.6,73,149.81,865,1345.8,218,275.03,3342,3884.48,92,106.03,1148,1559.46,10518,10967.96
Bongaigaon,55,2904,3034.28,4,2.38,0,0,263,155.01,71,169.15,274,475.8,183,161.43,2663,2827.21,65,88.34,824,1950.11,7251,8863.71
Cachar,161,6347,4643.96,107,80.86,0,0,1002,713.9,269,797.45,438,581.28,184,235.94,8796,6606.77,300,854.27,2518,2042.81,19961,16557.24
Charaideo,35,825,802.84,0,0,0,0,38,62.1,13,84.63,234,483.04,28,60.9,2413,2455.09,38,40.78,440,302.29,4029,4291.67
Chirang,32,2473,2186.3,0,0,0,0,13,30.33,11,58.9,283,251.47,22,36.12,1329,2180.93,14,19.03,380,270.28,4525,5033.36
Darrang,70,3317,3796.63,104,70.86,0,0,681,345.17,97,370.1,386,750.23,204,314.86,4049,3730.47,103,147.08,764,800.6,9705,10326
Dhemaji,45,3143,3096.79,0,0,0,0,896,315.87,69,113.66,906,1065.35,40,71.78,2911,3483,76,88.43,1215,957.85,9256,9192.73
Dhubri,85,4125,5002.8,8,4.94,0,0,111,172.2,91,309.68,555,913.39,58,402.16,2939,3052.69,250,248.62,1170,809.2,9307,10915.68
Dibrugarh,183,11231,9097.08,114,72.55,0,0,844,399.61,74,248.49,766,1123.11,377,516.74,12315,8896.89,78,365.44,1360,6678.98,27159,27398.89
Dima Hasao,27,321,225.55,0,0,0,0,20,23.35,19,26.5,84,86.45,1,0.6,520,556.11,20,18.53,256,154.13,1241,1091.22
Goalpara,67,3769,4177.73,0,0,0,0,198,157.25,75,235.65,498,700.67,171,278.95,3902,3397.12,88,113.06,1622,1302.08,10323,10362.51
Golaghat,118,9720,7415.85,18,13.18,0,0,538,341.84,88,349.5,554,917.73,566,601.05,10548,8274.91,112,161.24,1804,4476.58,23948,22551.88
