District,Total Branch,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S amt,of which girl student O/S Amt
Baksa,52,10,8,18.19,19.1,16,10,25.25,23,65,24,177.01,86.21
Barpeta,121,39,18,103.25,49.09,138,44,337.32,113.96,393,129,1299.11,382.99
Biswanath,56,17,7,41.83,13,42,24,106.6,54.05,142,60,411.36,184.31
Bongaigaon,55,17,7,115.33,26.39,43,15,154.6,55.68,128,39,584.96,188.38
Cachar,161,77,22,159.05,42.16,351,74,1051.35,201.34,1006,212,2945.99,604.09
Charaideo,35,4,1,5.8,3.46,15,5,51.58,20.67,72,23,210.66,81.98
Chirang,32,3,3,5.52,5.52,10,4,52.7,9.12,54,11,178.97,27.25
Darrang,70,26,9,45.53,16.83,148,38,349.21,106.88,318,122,920.88,357.01
Dhemaji,45,24,14,43.89,27.1,56,26,145.11,63.61,152,60,385.98,161.23
Dhubri,85,19,4,36.45,4.3,73,15,300.57,68.43,198,37,672.01,143.16
Dibrugarh,183,72,46,312.14,210.8,235,100,761.46,339.67,853,332,3003.92,1169.45
Dima Hasao,27,3,0,2.36,0,7,1,19.53,7.05,19,5,54.57,23.41
Goalpara,67,14,8,45.6,33.39,50,11,152.31,28.85,124,36,467.06,123.44
Golaghat,118,35,19,84.22,38.3,131,55,466.63,238.64,328,120,1075.65,423.92
Hailakandi,44,2,2,3.22,3.22,10,6,28.38,21.34,83,20,191,62.77
Hojai,61,16,6,41.16,17.1,43,16,147.7,41.95,136,38,415.59,108.14
Jorhat,135,75,44,276.97,179.86,280,126,1288.34,597.16,738,315,2949.27,1303.29
Kamrup Metro,167,111,61,249.32,150.37,543,149,1994.01,541.09,1095,270,3421.73,883.76
Karbi Anglong,63,12,6,20.23,7.34,35,14,81.6,28.22,112,40,303.17,109.57
Karimganj,87,5,1,15.18,1.3,18,4,58.78,8.13,97,27,288.29,72.02
Kokrajhar,51,15,5,62.93,18.61,37,9,123.98,32.37,91,22,276.1,72.6
Lakhimpur,89,45,25,151.24,120.01,111,46,252.55,107.87,311,120,872.63,320.78
Majuli,13,2,1,2.71,1.32,11,2,24.65,2.99,41,7,89.51,15.12
Morigaon,69,11,1,37.66,8.35,24,7,61.43,19.67,123,35,371.6,123.27
Nagaon,150,21,10,87.21,60.48,105,28,308.93,99.13,314,87,1115.67,305.65
Nalbari,84,17,6,22.51,7,108,40,420.55,175.09,310,93,1101.64,384.96
Sivasagar,95,28,16,118.12,26.69,87,42,307.68,134.18,287,118,922.62,337.23
Sonitpur,122,59,26,228.71,52.27,184,64,608.48,207.63,455,160,1419.15,512.94
South Salmara,10,1,0,2.42,0,3,0,7.16,0,17,2,51.31,6.25
Tinsukia,149,63,27,214.24,97.3,215,83,724.64,250.13,566,190,1979.27,580.58
Udalguri,45,25,15,40.72,27.07,109,65,237.06,143.73,221,127,588.1,319.71
West Karbi Anglong,22,1,0,3.38,0,5,1,22.71,5.3,17,4,55.52,15.5
