District,Total Branch,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot Msme (PS) Disb No.,Tot Msme (PS) Disb Amt
Baksa,52,1423,1710.96,313,2300.85,114,552.86,43,589.29,0,0,7,60.08,25,37.98,7,7.15,368,564.2,2300,5823.37
Barpeta,121,3248,7443.82,911,7012.31,443,3987.16,195,2811,40,385.57,48,874.25,77,195.62,54,131.04,491,1881.74,5507,24722.51
Biswanath,56,1353,1855.38,298,671.11,201,2045.36,119,498,1,71.83,0,0,14,33.3,0,0,501,3716.88,2487,8891.86
Bongaigaon,55,2063,5988.06,437,2408.21,261,5375.13,76,2007.54,15,175.76,25,1064.66,9,15.13,3,2.86,553,1322.57,3442,18359.92
Cachar,161,3035,10404.07,1084,5781.07,895,6088.16,297,5567.89,55,1048,125,4941.6,56,165.27,26,85.01,463,7335.49,6036,41416.56
Charaideo,35,689,1119.59,179,576.59,105,727.82,13,90.17,9,60.35,12,103.36,2,3.76,0,0,31,465.5,1040,3147.14
Chirang,32,1147,1432.42,166,449.73,51,1395.04,19,338.53,1,424.68,1,141.56,23,22.16,1,0.86,326,459.27,1735,4664.25
Darrang,70,1625,3097.59,521,2748.41,179,1750.39,102,1013.13,8,69.5,10,66.9,26,46.02,6,12.8,134,922.53,2611,9727.27
Dhemaji,45,1720,2254.19,338,1082.05,172,719.07,84,589.93,18,206,35,320.81,20,35.61,0,0,181,313.42,2568,5521.08
Dhubri,85,2497,5134.59,624,2254.09,284,3498.32,75,918.03,1,0.5,0,0,17,23.4,5,9.16,140,708.82,3643,12546.91
Dibrugarh,183,3552,9644.52,1444,7667.04,482,6954.03,346,6826.26,33,246.72,13,584.13,7,36.44,0,0,448,18261.4,6325,50220.54
Dima Hasao,27,365,364.12,93,191.39,33,131.25,9,55.86,7,40,7,66.48,12,18.42,0,0,8,19.43,534,886.95
Goalpara,67,1736,2643.8,369,1263.94,166,1066.45,45,479.82,20,192,57,1002.31,37,68.42,4,5.7,176,477.41,2610,7199.85
Golaghat,118,1967,4055.15,706,2249.65,519,3397.84,202,2158.6,16,281.18,29,412.01,6,25.89,0,0,406,3673.49,3851,16253.81
Hailakandi,44,1289,2863.69,337,1385.91,146,719.56,59,1790.68,8,47.6,11,55.92,38,69.08,6,16.4,201,707.98,2095,7656.82
Hojai,61,1354,3226.05,438,1492.2,242,1924.52,73,735.88,15,92.99,19,158.97,19,34.16,16,28.46,248,666.51,2424,8359.74
Jorhat,135,2179,6856.66,794,4787.8,498,4400.02,224,4768.37,53,2563.26,33,996.05,3,8.65,0,0,373,12143.32,4157,36524.13
Kamrup Metro,167,3951,6934.43,1324,6996.39,498,4509.62,217,5618.21,27,510.81,37,353.19,99,176.48,51,58.49,631,1501.71,6835,26659.33
Karbi Anglong,63,3397,2582.2,407,875.52,51,568.35,16,384.31,0,0,0,0,13,27.68,0,0,75,359.9,3959,4797.96
Karimganj,87,1042,2085.61,546,2412.11,335,1563.96,98,803.93,22,157,24,251.66,57,165.15,7,14.97,499,2593.53,2630,10047.92
Kokrajhar,51,1026,1905.65,240,974.04,72,1362.54,46,229.69,1,6,2,7.6,59,95.24,44,82,59,379.99,1549,5042.75
Lakhimpur,89,2926,4273.71,877,3819.78,495,3065.81,163,2590.34,26,241,33,369.19,14,31.1,1,5,1165,3394.28,5700,17790.21
Majuli,13,303,440.39,30,132.33,42,327.73,12,82.76,0,0,0,0,0,0,0,0,113,114.36,500,1097.57
Morigaon,69,1059,2044.01,363,2088.61,210,941.97,83,1599.34,27,308.2,39,1378.7,13,23.19,1,0.72,302,625.95,2097,9010.69
Nagaon,150,2802,6516.19,794,4145.31,640,5987.29,259,5552.85,45,807.92,39,470.44,86,199.29,74,157.26,237,2383.54,4976,26220.09
Nalbari,84,1574,3010.66,424,2310.47,189,1439.43,78,2729.93,7,64,9,2106.49,34,64.4,2,1.93,299,726.66,2616,12453.97
Sivasagar,95,2096,5260.67,834,3211.31,232,2732.17,120,2242.25,19,1032.02,23,327.01,14,37.49,0,0,381,1986.27,3719,16829.19
Sonitpur,122,2632,8184.66,1010,3920.03,450,6232.08,136,2471.38,36,598.9,49,1455.66,105,341.46,51,117.31,300,8439.33,4769,31760.81
South Salmara,10,204,493.49,37,82.19,11,334.83,2,20.15,0,0,0,0,5,9.17,0,0,6,2.46,265,942.29
Tinsukia,149,3238,7476.26,1315,7194.41,436,5487.19,277,10191.21,30,821.65,28,3111.04,18,32.13,0,0,409,12218.18,5751,46532.07
Udalguri,45,1134,1535.01,244,830.57,75,467.7,18,182.28,12,135.92,22,214.52,4,3.07,0,0,242,545.12,1751,3914.19
West Karbi Anglong,22,265,130.62,128,58.78,1,19.15,1,6.38,4,4.88,0,0,0,0,0,0,4,11.45,403,231.26
