District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Baksa,52,42536,25012.55,13342,7069.47,28.26,19824,16083.7,5475,4955.56,30.81,7418,11013.58,1476,1053.83,9.57,69778,52109.83,20293,13078.86,25.1
Barpeta,121,119412,64775.7,47392,19893.9,30.71,33007,57838.34,8304,9240.15,15.98,42071,46112.11,7830,3408.01,7.39,194490,168726.15,63526,32542.06,19.29
Biswanath,56,55691,32352.12,18188,8292.45,25.63,16211,20556.19,5158,3071.26,14.94,18379,20832.4,4301,1738.58,8.35,90281,73740.71,27647,13102.29,17.77
Bongaigaon,55,32264,20003.93,7606,3188.42,15.94,19371,41748.79,2168,2824.56,6.77,22663,26755.51,5489,1827.43,6.83,74298,88508.23,15263,7840.41,8.86
Cachar,161,98021,62264.01,32330,17629.85,28.31,35649,100226.82,4687,8310.51,8.29,76696,57141.26,11375,4695.99,8.22,210366,219632.09,48392,30636.35,13.95
Charaideo,35,22638,12951.16,5013,2680.7,20.7,6319,10367.45,2380,2068.09,19.95,4703,6996.25,1635,817.75,11.69,33660,30314.86,9028,5566.54,18.36
Chirang,32,29582,17968.29,9802,5419.37,30.16,10906,12790.47,3189,3324.14,25.99,7977,6938.94,1186,450.63,6.49,48465,37697.7,14177,9194.14,24.39
Darrang,70,79339,42409.63,31254,14858.76,35.04,17739,28412.32,5437,6160.2,21.68,25712,23612.88,4873,2209.92,9.36,122790,94434.83,41564,23228.88,24.6
Dhemaji,45,45184,27115.68,11723,6251.01,23.05,21227,19117.32,4035,4024.89,21.05,8343,18908.82,1107,615.34,3.25,74754,65141.82,16865,10891.24,16.72
Dhubri,85,72032,39753.16,37306,18650.26,46.92,18050,26068.69,5740,4383.52,16.82,38748,34971.74,7459,3351.64,9.58,128830,100793.59,50505,26385.42,26.18
Dibrugarh,183,139683,90298.19,57236,26720.37,29.59,47321,159163.32,11069,15278.65,9.6,36753,64009.4,10594,4299.78,6.72,223757,313470.91,78899,46298.8,14.77
Dima Hasao,27,3150,1782.73,1377,392.91,22.04,2069,3400.77,2327,1263.45,37.15,786,4287.29,46,82.81,1.93,6005,9470.79,3750,1739.17,18.36
Goalpara,67,52242,28399.03,14667,8179.48,28.8,20322,21965.59,4726,5018.39,22.85,18613,17531.96,3999,1625.02,9.27,91177,67896.58,23392,14822.89,21.83
Golaghat,118,137207,74830.61,59991,23724.23,31.7,26747,46601.98,5589,5306.82,11.39,26272,31121.76,6640,2131.18,6.85,190226,152554.35,72220,31162.23,20.43
Hailakandi,44,28387,16689.03,9546,4530.33,27.15,8228,15874.11,2047,2127.93,13.41,13733,12241.78,2416,1138.22,9.3,50348,44804.92,14009,7796.48,17.4
Hojai,61,49311,27374.07,20457,10430.79,38.1,16283,19604.25,2728,2113.92,10.78,16211,27512.94,2776,2980.33,10.83,81805,74491.26,25961,15525.04,20.84
Jorhat,135,107872,68573.32,45501,18057.39,26.33,32040,115334.18,7575,12073.46,10.47,33389,54012.28,11559,3805.54,7.05,173301,237919.78,64635,33936.39,14.26
Kamrup Metro,167,139285,73263.72,45306,21557.83,29.42,46830,91915.79,10232,12269.28,13.35,80678,59958.22,22255,5917.07,9.87,266793,225137.73,77793,39744.18,17.65
Karbi Anglong,63,48176,22856.4,9335,4200.08,18.38,14314,11107.83,893,922.79,8.31,5834,24730.75,572,287.3,1.16,68324,58694.98,10800,5410.17,9.22
Karimganj,87,59425,37636.5,21754,10626.71,28.24,15184,30410.79,2631,3684.62,12.12,35879,24386.96,7357,3024.65,12.4,110488,92434.25,31742,17335.98,18.75
Kokrajhar,51,35874,22320.19,11548,6004.42,26.9,8821,15325.64,4638,5150.5,33.61,16177,18211.83,2327,842.34,4.63,60872,55857.66,18513,11997.26,21.48
Lakhimpur,89,113178,63068.59,34836,16905.68,26.81,38373,48572.11,6869,7629.13,15.71,22765,45158.26,4641,3619.11,8.01,174316,156798.96,46346,28153.92,17.96
Majuli,13,8672,5021.09,2808,1616.08,32.19,3790,5182.63,863,699.69,13.5,1588,8790.92,529,931.54,10.6,14050,18994.64,4200,3247.31,17.1
Morigaon,69,89709,53253.52,32022,16847.72,31.64,14592,23884.71,3388,3861.67,16.17,12951,31229.56,2328,3331.38,10.67,117252,108367.79,37738,24040.77,22.18
Nagaon,150,204975,106111.99,91840,37185.86,35.04,31741,75128.84,9997,12955.91,17.24,53596,60378.38,13545,6022.63,9.97,290312,241619.21,115382,56164.4,23.25
Nalbari,84,79527,38477.09,33179,10945.46,28.45,21152,30114.12,7388,6826.23,22.67,28787,34558.82,7644,3073.77,8.89,129466,103150.03,48211,20845.46,20.21
Sivasagar,95,82743,39836.71,31488,12297.43,30.87,25003,60805.6,6692,5528.52,9.09,20741,33823.21,14659,4837.69,14.3,128487,134465.52,52839,22663.64,16.85
Sonitpur,122,93834,54405.6,29069,13673.54,25.13,29300,83543.64,7341,8991,10.76,35828,57515.11,8035,4837.87,8.41,158962,195464.35,44445,27502.41,14.07
South Salmara,10,3235,1766.09,1671,874.31,49.51,1471,2451.51,1063,1423.47,58.07,514,2986.38,199,309.32,10.36,5220,7203.98,2933,2607.1,36.19
Tinsukia,149,91337,113551.71,31922,19112.87,16.83,34075,103895.08,8234,8059.18,7.76,23455,40384.94,4448,2256.41,5.59,148867,257831.73,44604,29428.46,11.41
Udalguri,45,54086,31366.88,25253,15160.26,48.33,14848,14210.52,5609,7027.89,49.46,9017,19921.44,2716,1534.94,7.7,77951,65498.84,33578,23723.09,36.22
West Karbi Anglong,22,14093,6130.07,2996,1218.75,19.88,1667,670.99,193,98.99,14.75,649,6456.7,22,27.17,0.42,16409,13257.76,3211,1344.91,10.14
