district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,52,289,85.06,449,878.58,70,402.29,808,1365.93
Barpeta,121,1491,410.34,1954,3141.05,356,2032.96,3801,5584.35
Biswanath,56,259,79.1,581,945.64,84,460.42,924,1485.16
Bongaigaon,55,1320,322.47,855,1218.56,250,1574.43,2425,3115.46
Cachar,161,1743,549.92,1288,2388.01,248,1749.75,3279,4687.68
Charaideo,35,287,70.27,161,259.72,36,235.3,484,565.29
Chirang,32,259,61.64,164,232.01,31,128.48,454,422.13
Darrang,70,654,143.4,886,1750.97,221,1553.74,1761,3448.11
Dhemaji,45,293,88.92,515,696.83,167,941.52,975,1727.27
Dhubri,85,936,162.27,1299,2624.15,162,871.51,2397,3657.93
Dibrugarh,183,1763,349.78,1530,2825.35,622,3819.67,3915,6994.8
Dima Hasao,27,314,56.33,86,151.31,18,86.43,418,294.07
Goalpara,67,963,211.69,757,2058.01,214,1343.14,1934,3612.84
Golaghat,118,803,195.46,713,1009.34,171,1091.8,1687,2296.6
Hailakandi,44,353,106.47,668,1110.54,58,300.88,1079,1517.89
Hojai,61,509,167.64,457,801.01,139,933.16,1105,1901.81
Jorhat,135,1098,316.76,1035,1802.27,280,1784.45,2413,3903.48
Kamrup Metro,167,1551,572.84,1803,2764.98,285,1656.04,3639,4993.86
Karbi Anglong,63,688,136.59,290,508.01,62,443.7,1040,1088.3
Karimganj,87,760,222.43,774,1050.23,134,918.23,1668,2190.89
Kokrajhar,51,652,156.03,434,1006.42,75,495.38,1161,1657.83
Lakhimpur,89,776,210.78,1127,1550.66,194,1086.08,2097,2847.52
Majuli,13,62,25.42,146,460.92,26,215.56,234,701.9
Morigaon,69,259,102.46,692,1070.68,76,521.11,1027,1694.25
Nagaon,150,2266,461.33,1201,1592.22,226,1422.6,3693,3476.15
Nalbari,84,670,192.69,663,1280.41,129,830.98,1462,2304.08
Sivasagar,95,802,194.95,828,1291.25,192,1180.47,1822,2666.67
Sonitpur,122,1692,439.67,1431,2042.44,307,1827.94,3430,4310.05
South Salmara,10,12,4.16,167,379.58,16,116.65,195,500.39
Tinsukia,149,1099,264.37,1543,2316.1,461,2821.32,3103,5401.79
Udalguri,45,310,62.53,392,448.73,64,450.15,766,961.41
West Karbi Anglong,22,101,22.62,19,39.22,4,26.25,124,88.09
