district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,52,36548,17596.23,3655,4630.59
Barpeta,121,139332,69255.99,18055,17920.99
Biswanath,56,58561,27256.64,6911,6271.36
Bongaigaon,55,59429,36506.85,9227,10952.85
Cachar,161,185900,108283.32,36225,32666.05
Charaideo,35,20861,12479.55,3650,4081.38
Chirang,32,27743,15517.52,5203,4091.91
Darrang,70,88327,41524.56,8810,9898.25
Dhemaji,45,43110,29734.91,7440,9563.17
Dhubri,85,106221,56531.12,13352,11874.66
Dibrugarh,183,146996,104306.14,29624,32497.75
Dima Hasao,27,4886,10077.85,1046,3281.88
Goalpara,67,61814,32680.41,8425,7880.28
Golaghat,118,123771,62945.4,19223,17471.74
Hailakandi,44,31477,19252.33,7302,7035.68
Hojai,61,59013,29569.81,8404,7448.9
Jorhat,135,129810,80149.76,18801,22134.83
Kamrup Metro,167,224474,122311.74,31030,34865.32
Karbi Anglong,63,40163,33150.2,12523,13596.49
Karimganj,87,90416,44006.9,17799,14288.74
Kokrajhar,51,37737,30789.74,9037,9674.47
Lakhimpur,89,114128,60870,14587,15821.49
Majuli,13,5587,2452.81,511,958.23
Morigaon,69,69554,35192.76,9453,8803.94
Nagaon,150,212063,110624.09,26190,26698.28
Nalbari,84,92797,43853.94,9858,11358.77
Sivasagar,95,102160,69649.84,17503,22553.65
Sonitpur,122,120030,74092.53,15325,18309.05
South Salmara,10,1030,1107.04,101,276.79
Tinsukia,149,91364,63619.67,18883,20813.8
Udalguri,45,31800,20869.25,4575,5185.99
West Karbi Anglong,22,6524,6172.02,1189,1582.2
