district,Total Branch,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,52,19699,12237.84,20608,11065.54,196,86.05,2033,1623.12,42536,25012.55
Barpeta,121,49841,32609,63909,27177.49,734,540.26,4928,4448.95,119412,64775.7
Biswanath,56,26401,16065.93,24411,12955.27,467,390.8,4412,2940.12,55691,32352.12
Bongaigaon,55,13101,9341.05,16931,7966.76,312,242.47,1920,2453.65,32264,20003.93
Cachar,161,49010,29114.97,40005,19753.1,1185,1809.09,7821,11586.85,98021,62264.01
Charaideo,35,10844,6503.82,10287,5186.87,123,135.16,1384,1125.31,22638,12951.16
Chirang,32,17985,9976.92,8742,5798.72,1270,642.68,1585,1549.97,29582,17968.29
Darrang,70,34174,20416.52,41439,18260.1,330,264.12,3396,3468.89,79339,42409.63
Dhemaji,45,24793,15534.15,15285,8311.93,191,318.57,4915,2951.03,45184,27115.68
Dhubri,85,31342,17945.99,31286,15779.39,5362,2852.25,4042,3175.53,72032,39753.16
Dibrugarh,183,69401,45897.15,60594,23937.82,919,1153.15,8769,19310.07,139683,90298.19
Dima Hasao,27,1847,650.88,1224,915.51,13,16.55,66,199.79,3150,1782.73
Goalpara,67,27118,13604.02,21993,11867.63,547,355.86,2584,2571.52,52242,28399.03
Golaghat,118,56709,32957.34,72312,29613.5,2494,1480.4,5692,10779.37,137207,74830.61
Hailakandi,44,18254,9448.84,8239,4638.16,258,1130.66,1636,1471.37,28387,16689.03
Hojai,61,21844,11893.22,19766,10021.69,2691,1566.36,5010,3892.8,49311,27374.07
Jorhat,135,42247,21960.58,58552,24888.71,2638,1502.26,4435,20221.77,107872,68573.32
KARIMGANJ,87,26025,16655.15,27427,13390.22,634,870.46,5339,6720.67,59425,37636.5
Kamrup,167,66519,38685.86,66177,27294.49,795,694.61,5794,6588.76,139285,73263.72
Kamrup Metro,417,11857,9321.9,29415,142851.27,245,7127.48,3489,52477.75,45006,211778.4
Karbi Anglong,63,33717,15148.61,12119,6799.1,24,30.28,2316,878.41,48176,22856.4
Kokrajhar,51,24388,15449.28,7536,4565.08,2819,1284.13,1131,1021.7,35874,22320.19
Lakhimpur,89,56116,36402.57,46445,19502.92,725,760.28,9892,6402.82,113178,63068.59
Majuli,13,5263,2687.5,2943,1907.19,27,28.19,439,398.21,8672,5021.09
Morigaon,69,39297,24552.52,42207,20703.11,1896,1326.34,6309,6671.55,89709,53253.52
Nagaon,150,79501,45748.88,110665,46146.18,3435,2550.78,11374,11666.15,204975,106111.99
Nalbari,84,28670,15779.01,47325,18437.58,378,242.92,3154,4017.58,79527,38477.09
Sivasagar,95,25133,14548.82,51224,19572.86,334,351.02,6052,5364.01,82743,39836.71
Sonitpur,122,30252,20212.57,56783,26800.45,1553,931.91,5246,6460.67,93834,54405.6
South Salmara,10,2612,1044.34,623,721.75,0,0,0,0,3235,1766.09
Tinsukia,149,48353,37007.73,36190,16494.18,654,4256.57,6140,55793.23,91337,113551.71
Udalguri,45,34117,21416.13,17639,8995.84,175,68.35,2155,886.56,54086,31366.88
West Karbi Anglong,22,10786,4218.01,3147,1868.78,1,0,159,43.28,14093,6130.07
