District,Total Branch,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Aizawl,116,540961,409348,151559
Champhai,17,80598,55833,14568
Hnahthial,5,24802,17957,3783
Khawzawl,9,33366,25340,3935
Kolasib,21,92636,66293,17087
Lawngtlai,12,113675,76328,20904
Lunglei,23,144049,95243,26098
Mamit,13,68033,50364,9371
Saiha,7,68906,43946,10279
Saitual,10,30169,22063,4283
Serchhip,16,66775,50305,5161
