District,Total Br,Sishu,Kishore,Tarun,Total MUDRA Disb
Aizawl,116,5944,2362,694,9000
Champhai,17,1493,136,92,1721
Hnahthial,5,22,32,9,63
Khawzawl,9,37,37,32,106
Kolasib,21,1517,923,74,2514
Lawngtlai,12,4,123,41,168
Lunglei,23,1155,249,119,1523
Mamit,13,14,97,25,136
Saiha,7,0,17,26,43
Saitual,10,10,78,47,135
Serchhip,16,26,137,62,225
