district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,116,188,470.69,149,470.69,927,470.69,194,470.69,13.88
Champhai,17,35,13.98,30,13.98,109,13.98,7,13.98,4.72
Hnahthial,5,46,2.45,18,2.45,29,2.45,1,2.45,2.15
Khawzawl,9,23,13.55,13,13.55,48,13.55,5,13.55,6.92
Kolasib,21,35,119.42,30,119.42,190,119.42,32,119.42,14.81
Lawngtlai,12,55,34.14,30,34.14,145,34.14,27,34.14,13.39
Lunglei,23,152,68.3,61,68.3,415,68.3,33,68.3,7.98
Mamit,13,53,56.58,34,56.58,164,56.58,18,56.58,12.09
Saiha,7,10,52.41,7,52.41,76,52.41,25,52.41,28.31
Saitual,10,30,8.32,26,8.32,99,8.32,6,8.32,2.01
Serchhip,16,44,47.14,32,47.14,168,47.14,16,47.14,8.63
