district,Total Br(s),Current Year Female Account,Current Year Male Account to SC,Current Year Male Account to ST,Total Current Year SUI Disb
Aizawl,116,51,6,45,102
Champhai,17,0,0,0,0
Hnahthial,5,0,0,1,1
Khawzawl,9,0,0,0,0
Kolasib,21,4,0,0,4
Lawngtlai,12,0,0,0,0
Lunglei,23,3,0,0,3
Mamit,13,1,0,0,1
Saiha,7,0,0,0,0
Saitual,10,0,0,3,3
Serchhip,16,0,0,0,0
