District,Total Br(s),In- active CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenti- cated SB accounts,RuPaycardissuedin KCC
Aizawl,116,55,47691,14585,123177,1406
Champhai,17,6,7262,744,10845,114
Hnahthial,5,0,3117,919,3708,18
Khawzawl,9,6,4535,510,5053,80
Kolasib,21,11,12283,2860,12873,118
Lawngtlai,12,19,20831,10125,17636,114
Lunglei,23,22,23414,5895,20091,94
Mamit,13,9,9150,1083,6734,10
Saiha,7,16933,7267,749,8009,395
Saitual,10,1,3139,735,4588,344
Serchhip,16,3,8111,581,5594,122
