District,Total Br,Micro,Small,Medium,Other Msme,Msme Total O/S
Aizawl,116,16213,409,32,56,16710
Champhai,17,1776,13,2,1,1792
Hnahthial,5,286,3,0,0,289
Khawzawl,9,531,13,2,3,549
Kolasib,21,2306,28,0,22,2356
Lawngtlai,12,1036,22,0,6,1064
Lunglei,23,3366,54,0,31,3451
Mamit,13,1060,3,0,8,1071
Saiha,7,495,7,0,1,503
Saitual,10,843,2,0,1,846
Serchhip,16,1537,18,0,5,1560
