District,Total Br(s),Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renew- able No.,Others No.,Total Other PS O/S No.
Aizawl,116,0,46448.12,189,4678,0,1,5077,9945
Champhai,17,0,3395.68,4,459,0,0,13,476
Hnahthial,5,0,1580.28,2,161,0,0,0,163
Khawzawl,9,0,1960.76,4,220,0,0,0,224
Kolasib,21,0,6180,18,621,0,0,1876,2515
Lawngtlai,12,0,12070.22,13,1469,0,0,20,1502
Lunglei,23,0,16353.25,19,1887,0,0,25,1931
Mamit,13,0,2816.48,0,330,0,0,1,331
Saiha,7,0,6378.73,6,835,0,0,8,849
Saitual,10,0,1479.52,5,167,0,0,7,179
Serchhip,16,0,6206.12,10,734,0,0,3,747
