District,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,116,58421,102628,4077,165126
Champhai,17,6611,11219,616,18446
Hnahthial,5,3957,6767,137,10861
Khawzawl,9,3814,5941,39,9794
Kolasib,21,6778,13360,871,21009
Lawngtlai,12,5982,12250,725,18957
Lunglei,23,13896,27020,1238,42154
Mamit,13,7415,12757,293,20465
Saiha,7,4302,6493,216,11011
Saitual,10,3098,4944,83,8125
Serchhip,16,7021,11183,305,18509
