District,Si.no,Individual (I),Group Enterprise (GE),SHG-Blk
Aizawl,1,216,1,15
Lunglei,2,60,1,5
Champhai,3,25,1,4
Mamit,4,20,1,1
Lawngtlai,5,18,1,1
Saitual,6,15,1,1
Saiha,7,14,1,1
Khawzawl,8,12,1,2
Kolasib,9,12,1,2
Serchhip,10,8,1,4
