district,Total Br(s),CROP,TERM LOAN,AGRI INFRA,ANCILLARY,AGRI Total NPA
Aizawl,116,5396,1219,0,46,6661
Champhai,17,100,1090,0,7,1197
Hnahthial,5,8,64,0,0,72
Khawzawl,9,60,176,0,1,237
Kolasib,21,148,303,0,44,495
Lawngtlai,12,355,401,0,12,768
Lunglei,23,69,355,0,2,426
Mamit,13,54,226,0,0,280
Saiha,7,141,498,0,3,642
Saitual,10,82,176,0,0,258
Serchhip,16,33,318,0,7,358
