district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,21,0,133,220,5,0,133,220,97,123,220
Champhai,4,9,0,44,0,9,0,44,41,3,44
Hnahthial,4,1,0,12,1,1,0,12,8,4,12
Khawzawl,5,3,0,22,1,3,0,22,22,0,22
Kolasib,7,11,0,54,1,11,0,54,50,4,54
Lawngtlai,5,5,0,94,1,5,0,94,94,0,94
Lunglei,7,17,0,72,1,17,0,72,65,7,72
Mamit,12,1,0,54,4,1,0,54,53,1,54
Saiha,1,6,0,41,0,6,0,41,40,1,41
Saitual,6,2,0,13,0,2,0,13,12,1,13
Serchhip,8,6,0,55,1,6,0,55,55,0,55
