District,Total Branch,Agri,Edn,Housing,Personal,Other NPS,Total NPS
Aizawl,116,1,0,24,256,1534,1815
Champhai,17,0,0,4,7,53,64
Hnahthial,5,0,0,0,0,13,13
Khawzawl,9,0,0,0,9,22,31
Kolasib,21,0,0,0,19,63,82
Lawngtlai,12,0,0,6,40,112,158
Lunglei,23,0,0,1,22,100,123
Mamit,13,0,0,1,18,37,56
Saiha,7,0,0,0,28,62,90
Saitual,10,0,0,1,2,16,19
Serchhip,16,0,0,0,9,33,42
