District,Sishu No,Sishu amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,No,Amount
East Garo Hills,210,52.51,50,100.86,15,107.67,275,261.04
East Jaintia Hills,38,17.64,38,99.37,11,90.34,87,207.35
East Khasi Hills,1758,608.7,1137,2344.76,380,2408.24,3275,5361.7
North Garo Hills,18,7.15,34,64.18,16,121.73,68,193.06
Ri Bhoi,91,32.19,380,1283.19,364,2555.77,835,3871.15
South Garo Hills,14,5.88,9,13.74,5,36,28,55.62
South West Garo Hills,64,20.62,79,115.37,16,107.37,159,243.36
South West Khasi Hills,6,2.01,23,61.2,4,25.31,33,88.52
West Garo Hills,921,243.09,305,661.59,148,1049.86,1374,1954.54
West Jaintia Hills,116,45.68,165,379.9,60,408.64,341,834.22
West Khasi Hills,74,30.38,84,192.75,18,140.04,176,363.17
