District,Amt Other,Other No.,Amt Clinic,Clinic No.,Amt Godown,No Godown,Amt Fisheries,Fisheries No.,Amt Poultry,Poultry No.,Amt Farm Mechanisation,No Farm Mechanisation,Amt Dairy,Dairy no,Amt AH Allied KCCs and Activities for,AH & Allied Activities KCCs No.
East Garo Hills,37.36,95,0,0,0,0,0.74,1,0,0,0.03,1,14.63,9,0,0
East Jaintia Hills,152.84,142,0,0,0,0,0,0,1.5,1,0,0,10.53,6,2.16,13
East Khasi Hills,5019.12,3823,1.68,1,0,0,272.78,59,54.36,31,51.99,10,129.07,216,45.27,107
North Garo Hills,8.35,22,0,0,0,0,0,0,0.03,1,0,0,2.67,1,0,0
Ri Bhoi,1523.21,406,2.73,1,0,0,23.47,23,96.61,34,5.1,6,410.31,153,7.18,15
South Garo Hills,23.11,36,0,0,0,0,0,0,0.5,1,0,0,2.73,2,1.16,2
South West Garo Hills,170.73,414,0,0,0,0,0.67,4,1.32,12,7.82,2,0,0,0,0
South West Khasi Hills,27.29,34,0,0,0,0,0,0,0,0,0,0,8.11,5,0,0
West Garo Hills,498.11,1283,0,0,0,0,0,0,15.02,17,4.19,13,71.37,41,1.64,5
West Jaintia Hills,1015.46,395,0,0,0,0,7.73,20,15.96,13,0,0,8.8,4,19.38,19
West Khasi Hills,156.22,284,0,0,10.03,1,1.74,8,21.24,18,0,0,53.93,35,17.69,44
