District,Rural No.,Urban No.,Male No.,Female No.,Zero Balance A/C No.,Deposits Held in A/C Amt,RuPay Card Issued No.,RuPay Card Activated,Aadhaar Seeded No.
East Garo Hills,17453,6759,9503,14709,1346,652.05,23922,18059,262
East Jaintia Hills,34944,1583,15150,21377,1315,2352.52,18076,9724,307
East Khasi Hills,92316,44806,59234,77888,14266,13106.07,65195,36536,13674
North Garo Hills,37601,3340,17263,23678,693,874.91,38814,31640,88
Ri Bhoi,43797,9512,22434,30875,1987,5151.44,25704,11052,1411
South Garo Hills,12325,2333,5776,8882,1404,440.96,11627,9378,578
South West Garo Hills,36437,3553,18251,21739,1133,1379.43,35074,22866,605
South West Khasi Hills,17867,1223,6960,12130,1298,2287.74,12891,9929,197
West Garo Hills,130230,17343,61231,86342,5575,5689.3,135233,96600,4144
West Jaintia Hills,49609,13544,23576,39577,3766,4674.22,35659,17982,1732
West Khasi Hills,57680,11338,29404,39614,2210,8673.23,28139,10079,2315
