District,Outstanding No.,Outstanding Amt,Disbursed No.,Disbursed Amt
East Garo Hills,3935,5379.75,1135,1916.62
East Jaintia Hills,1659,3754.95,476,979.5
East Khasi Hills,67174,117139.68,21421,30274.02
North Garo Hills,2772,3836.18,588,1164.77
Ri Bhoi,27759,30986.38,7996,7821.55
South Garo Hills,870,2066.83,288,521.66
South West Garo Hills,3570,4155.13,1223,1650.36
South West Khasi Hills,1779,2201.24,383,655.79
West Garo Hills,12789,24462.89,4657,7817.22
West Jaintia Hills,10213,14251.91,2945,3841.87
West Khasi Hills,9229,9999.98,2382,2421.93
