District,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt
East Garo Hills,332,287.34,54,93.35,5,6.71,2,1.89,0,0
East Jaintia Hills,307,559.71,182,263.08,13,48.59,4,29.07,2,13.47
East Khasi Hills,12906,12969.03,1160,3620.59,407,7628.79,102,4081.85,27,4114.03
North Garo Hills,89,107.46,34,38.12,0,0,0,0,0,0
Ri Bhoi,3388,3433.66,505,1064.64,159,3623.53,52,1191.48,17,2314.54
South Garo Hills,83,84.37,63,66.55,0,0,0,0,0,0
South West Garo Hills,214,258.61,246,291.01,8,9.89,3,3.3,0,0
South West Khasi Hills,48,68.58,102,146.49,1,15,0,5,0,0
West Garo Hills,2094,1862.95,416,802.79,139,904.28,51,389.74,1,95
West Jaintia Hills,2002,1944.53,511,718.35,151,1417.77,34,227.37,2,6.14
West Khasi Hills,999,694.69,474,574.72,19,128.67,4,23.56,0,0
