District,Loan Current Amount Year Achievement Crop,PMFBY Kharif Farmers Covered No.,Kharif insured PMFBY under Amt,PMFBY Rabi Farmers Covered No.,Rabi insured PMFBY under Amt,Rabi Insurance No. (Others),Rabi Insurance Amount (Others)
East Garo Hills,3.4,0,0,0,0,0,0
East Jaintia Hills,40.04,0,0,0,0,0,0
East Khasi Hills,3945.43,0,0,0,0,0,0
North Garo Hills,1.6,0,0,0,0,0,0
Ri Bhoi,506.86,117,3.46,0,0,0,0
South Garo Hills,18.65,0,0,0,0,0,0
South West Garo Hills,24.65,0,0,0,0,0,0
South West Khasi Hills,158.61,0,0,0,0,0,0
West Garo Hills,72.22,0,0,0,0,0,0
West Jaintia Hills,278.42,3,0.01,2,0.87,2,0.87
West Khasi Hills,513.31,0,0,0,0,0,0
