District,Crop Loan A/C,Crop Loan Amt,Forestry and Wasteland Dev A/C No.,Forestry and Wasteland Dev Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm Mechanization Amt,Plantation Horticulture A/C No.,Plantation & Horticulture Amt
East Garo Hills,754,398.81,2,1.24,0,0,0,0,0,0
East Jaintia Hills,56,33.58,0,0,0,0,0,0,18,15.56
East Khasi Hills,4132,2140.54,0,0,1,4.77,4,14.54,29,23.1
North Garo Hills,403,176,2,0.23,0,0,0,0,0,0
Ri Bhoi,4238,2511.83,0,0,0,0,30,108,1,0.45
South Garo Hills,97,53.1,0,0,0,0,0,0,7,6.5
South West Garo Hills,924,508.58,0,0,0,0,0,0,39,50.49
South West Khasi Hills,150,99.7,0,0,17,43.16,0,0,0,0
West Garo Hills,1226,563.6,0,0,1,0.07,22,22,4,4
West Jaintia Hills,839,507.48,0,0,0,0,0,0,7,9.9
West Khasi Hills,513,358.31,3,2.01,0,0,0,0,0,0
