District,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
East Garo Hills,96680,3155,3163
East Jaintia Hills,91507,3589,4218
East Khasi Hills,889138,109881,140336
North Garo Hills,108444,489,612
Ri Bhoi,237176,10095,9055
South Garo Hills,66584,481,828
South West Garo Hills,117081,2507,2524
South West Khasi Hills,69203,1835,1988
West Garo Hills,390091,13610,12116
West Jaintia Hills,234938,5436,10257
West Khasi Hills,218437,9761,4197
