District,Savings Linked No.,Savings Linked Amount,Credit Linked No.,Credit Linked Amount,Savings Linked No. (CY),CY Savings Linked Amount,Credit Linked No. (CY),CY Credit Linked Amount
East Garo Hills,439,64.46,8,8,444,64.77,20,17.64
East Jaintia Hills,173,2.59,67,64.86,653,13.95,146,109.72
East Khasi Hills,750,54.4,40,61.57,1172,65.97,117,214.54
North Garo Hills,754,52.67,0,0,809,54.33,1,0.01
Ri Bhoi,611,34.49,190,197.18,1246,49.67,336,497.48
South Garo Hills,534,78.93,10,12.2,705,88.2,28,30.92
South West Garo Hills,326,20.79,83,90,656,24.99,190,222
South West Khasi Hills,440,14.66,42,73.56,601,18.07,85,153.96
West Garo Hills,1393,96.04,69,83.2,1742,102.79,195,216.5
West Jaintia Hills,379,6.62,192,225.45,901,26.03,365,471.48
West Khasi Hills,414,27.38,207,235,1093,42.77,378,472.2
