District,Tarun NPA Amt,Tarun O/S Amt,Tarun NPA No.,Tarun O/S No.,Kishore NPA Amt,Kishore O/S Amt,Kishore NPA No.,Kishore O/S No.,Amt. NPA Sishu,Amt. O/S Sishu,No. NPA Sishu,No. O/S Sishu
East Garo Hills,28.84,6,266.03,61,120.63,61,329.82,192,7.24,23,75.32,326
East Jaintia Hills,23.45,4,232.33,33,6,7,167.36,83,10.29,28,60.52,210
East Khasi Hills,327.01,60,3469.40285,770,586.51,241,9282.76,12579,131.77,364,3073.19,14684
North Garo Hills,0.31,1,166,35,66.7,39,302.99,171,0.79,5,9.07,29
Ri Bhoi,52.52,13,780.09,181,251.85,125,2619.55,3608,38.73,169,305.26,1703
South Garo Hills,2.93,1,124.89,24,19.36,14,109.72,82,7.76,27,22.38,77
South West Garo Hills,7.89,3,235.41,61,52.13,38,348.91,252,4.21,17,27.25,102
South West Khasi Hills,0,0,23.07,3,18.03,9,116.67,60,1.87,8,11.27,39
West Garo Hills,240.49,39,1592.07,302,201.07,143,1320.67,812,46.92,161,360.64,1472
West Jaintia Hills,50.37,7,716.8,134,151.99,93,1420.13,1217,27.18,102,253.55,1256
West Khasi Hills,44.44,8,269.61,46,142.48,98,534.6,314,34.42,99,121.28,393
