district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,187.69,50,193,507.33,133.40,111.25,60,18.35,606.22,251,30.94,309,1638
Dimapur,339.32,118,278,564.26,270.00,92.35,59,5.12,1802.08,622,108.80,372,1850
Kiphire,1.00,1,74,88.76,77.94,12.63,8,13.25,95.29,88,10.84,305,1004
Kohima,94.50,37,131,238.74,414.68,70.39,44,13.40,525.16,369,190.01,418,2360
Longleng,10.50,8,0,0.00,37.00,0.00,0,0.00,18.45,33,37.00,322,322
Mokokchung,227.34,91,554,778.51,310.34,153.81,143,6.99,2200.28,1177,55.05,464,2199
Mon,21.50,15,191,186.17,479.65,31.82,44,16.80,189.37,194,347.19,925,2213
Niuland,67.92,31,291,627.71,88.89,142.81,88,19.95,715.78,357,4.29,64,1112
Noklak,1.00,1,0,0.00,8.35,0.00,0,0.00,4.27,7,8.35,127,127
Peren,17.11,11,27,34.51,74.93,8.30,7,4.30,193.10,164,21.09,161,674
Phek,22.91,13,154,172.28,535.56,37.48,39,12.67,295.83,273,376.27,757,2081
Shamator,22.00,22,28,27.12,22.99,0.00,0,0.00,30.49,34,16.92,164,193
Tseminyu,0.00,0,23,20.84,97.61,4.21,4,8.37,50.28,57,39.61,303,749
Tuensang,35.90,20,82,95.10,167.88,14.22,26,8.80,161.62,151,72.87,722,1724
Wokha,111.09,46,170,246.99,193.09,23.99,39,7.00,342.94,259,126.48,289,1034
Zunheboto,66.40,20,104,122.26,266.31,25.81,28,15.66,164.85,151,196.00,511,1281
