district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,2962,923.68,5469583,106008.99,257717,28236.37,58987,3255.69,31207,262715.31,97854,2766.04
Dimapur,8320,2677.49,9336417,205906.15,5022771,241599.22,402754,22576.01,416661,1921689.39,205990,5893.63
Kiphire,0,0.00,843686,16993.98,17,1.58,3643,196.19,39,0.27,5379,146.54
Kohima,4187,837.38,5562351,123367.23,1312212,72604.60,184324,12610.61,83565,1039159.43,126087,3911.74
Longleng,0,0.00,577094,11737.74,11,4.13,8,0.18,17,0.30,3248,104.17
Mokokchung,571,110.70,2813811,61222.28,395724,14672.58,59572,3052.71,17514,88373.00,36102,1053.87
Mon,103,14.48,2342390,43903.87,16833,4019.76,12059,1078.55,2955,66825.33,16840,455.46
Niuland,0,0.00,252958,3822.46,6,4.23,3037,156.58,3,0.03,1959,62.36
Noklak,0,0.00,256576,4675.39,0,0.00,34,0.92,0,0.00,1428,33.23
Peren,0,0.00,1136665,19654.38,307,14.76,1935,89.72,92,6.94,9920,276.78
Phek,0,0.00,1610068,37261.38,14337,511.39,6620,360.65,14,0.16,13885,386.47
Shamator,0,0.00,114610,2932.74,16,3.00,1034,32.26,0,0.00,778,19.57
Tseminyu,0,0.00,352629,5834.79,21593,457.39,4858,177.35,1682,267.75,4280,119.05
Tuensang,0,0.00,1548723,33637.37,33,45.01,8362,481.72,28,0.97,13836,415.31
Wokha,638,108.08,2074711,41305.70,112732,8410.77,14353,1031.78,4805,92392.72,18784,516.08
Zunheboto,117,14.16,1392678,28486.11,1818,2414.86,11203,908.73,1100,67604.60,15964,521.99
