district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,8.00,5,4.48,8,0.00,0,0.00,61.46,40
Dimapur,172.35,85,0.65,3,6.74,5,0.81,828.11,223
Kiphire,10.02,10,0.00,0,1.90,3,4.40,43.18,39
Kohima,59.74,31,8.39,14,3.84,4,1.72,223.35,216
Longleng,2.99,3,5.77,11,0.00,0,0.00,15.81,26
Mokokchung,284.54,138,1.77,13,17.78,16,1.29,1373.59,670
Mon,20.25,20,1.94,6,4.73,7,4.29,110.18,131
Niuland,70.32,27,0.00,0,0.00,0,0.00,123.77,79
Noklak,0.00,0,0.07,2,0.00,0,0.00,0.07,2
Peren,100.00,25,0.00,0,0.00,0,0.00,439.76,138
Phek,39.20,19,0.12,2,1.40,2,1.67,83.96,54
Shamator,20.74,22,0.00,0,0.00,0,0.00,20.61,22
Tseminyu,0.00,0,0.00,0,0.00,0,0.00,12.71,6
Tuensang,0.00,0,0.07,3,1.60,1,14.13,11.32,23
Wokha,85.49,37,0.00,0,5.58,7,3.75,148.75,131
Zunheboto,25.60,5,0.00,0,1.90,3,3.03,62.69,69
