district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,24.29,9,259.21,82,738.21,145,5498.72,1245
Dimapur,429.60,189,1870.94,1156,8933.25,2780,58881.87,19647
Kiphire,0.00,0,23.64,3,0.00,0,11.57,6
Kohima,56.71,18,433.09,157,6684.26,1850,36588.02,10610
Longleng,0.00,0,11.12,3,2.04,2,66.98,8
Mokokchung,30.39,14,296.17,97,1305.12,559,11702.44,4489
Mon,0.40,1,75.70,26,778.45,187,2917.97,885
Niuland,0.00,0,0.15,1,91.29,41,340.87,251
Noklak,0.00,0,6.32,2,0.00,0,12.08,2
Peren,1.16,2,19.64,6,50.00,17,184.58,39
Phek,0.00,0,35.75,9,66.21,21,577.51,148
Shamator,0.00,0,0.00,0,100.55,32,199.88,70
Tseminyu,0.00,0,4.34,2,199.35,50,867.37,262
Tuensang,4.21,2,74.12,12,1.03,1,54.81,9
Wokha,42.05,6,79.84,21,465.98,192,2077.03,942
Zunheboto,2.50,1,82.67,19,330.95,61,1154.59,412
