district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,30.00,6,595.66,115,0.00,0,77.02,53,12.75,9,715.43,183,0.00,0
Dimapur,164.99,16,8180.04,3656,77.77,24,1635.05,414,128.43,51,10186.28,4161,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,3.63,15,0.00,1,3.63,16,0.00,0
Kohima,40.95,7,5446.77,1799,0.00,0,133.99,67,0.92,12,5622.63,1885,0.00,0
Longleng,0.00,0,1.03,1,0.00,0,86.23,24,0.00,0,87.26,25,0.00,0
Mokokchung,5.18,3,624.82,480,0.00,0,34.90,25,0.00,0,664.90,508,0.00,0
Mon,7.16,1,1058.94,261,0.00,0,44.87,41,0.00,2,1110.97,307,0.00,2
Niuland,0.00,0,123.64,54,0.00,0,0.00,0,0.00,0,123.64,54,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,1,0.00,0
Peren,0.00,1,0.00,0,0.00,0,0.45,9,0.00,1,0.45,11,0.00,0
Phek,0.00,0,45.50,19,0.00,0,9.10,18,12.90,1,67.50,38,0.00,0
Shamator,10.00,1,96.00,39,0.00,0,36.31,9,0.00,0,142.31,49,0.00,0
Tseminyu,0.00,0,64.94,23,0.00,0,0.00,0,0.00,0,64.94,23,0.00,0
Tuensang,0.00,1,0.00,0,0.00,0,40.52,24,0.00,2,40.52,27,0.00,0
Wokha,0.00,3,404.41,265,0.00,0,55.45,22,0.00,2,459.86,292,0.00,0
Zunheboto,0.00,3,458.36,107,0.00,0,0.00,18,0.00,1,458.36,129,0.00,0
