district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,86.06,33,161.93,39,33.20,8,11.39,291.36,121
Dimapur,338.08,69,512.42,51,880.26,298,34.01,2588.52,717
Kiphire,0.00,0,0.00,0,69.65,35,10.10,689.70,319
Kohima,238.17,73,245.61,60,230.96,134,20.84,1108.04,498
Longleng,0.00,0,0.00,0,3.66,4,1.18,311.02,184
Mokokchung,40.79,13,98.03,13,36.25,50,6.02,601.86,146
Mon,39.56,13,78.76,15,15.37,4,2.45,627.67,246
Niuland,0.00,0,2.47,1,3.42,1,3.86,88.71,29
Noklak,0.00,0,0.00,0,13.03,7,9.33,139.60,74
Peren,0.00,0,67.07,22,151.58,72,25.62,591.66,258
Phek,10.55,1,14.00,1,576.21,216,39.90,1443.96,513
Shamator,0.00,0,0.00,0,0.00,0,0.00,31.35,14
Tseminyu,5.00,1,0.00,0,0.00,0,0.00,1184646.76,1
Tuensang,0.00,0,0.00,0,6.20,2,1.09,570.66,297
Wokha,22.18,7,50.84,14,13.64,22,3.54,385.61,148
Zunheboto,3.42,1,3.42,1,22.40,15,5.17,433.30,240
