district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,54677,12530,418,12995,858
Dimapur,158717,25637,1138,71327,1658
Kiphire,22364,9480,4,9480,648
Kohima,95909,13522,342,21906,737
Longleng,15722,10235,1,10235,93
Mokokchung,75713,14877,993,12268,1225
Mon,72644,26934,187,27608,342
Niuland,9889,1965,0,2148,307
Noklak,6177,2374,1,2374,12
Peren,21749,8151,151,8151,1477
Phek,43956,8869,1,9179,1035
Shamator,2683,1681,0,1884,44
Tseminyu,8559,1089,4,1064,128
Tuensang,28301,19354,3,19354,385
Wokha,39985,8393,140,8665,437
Zunheboto,32507,8089,2,8903,590
