district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Chumoukedima,7,10,0,95,8,88,7,10,0,17,17
Dimapur,11,11,123,117,377,470,2,8,37,145,47
Kiphire,1,3,0,20,1,8,1,2,0,4,3
Kohima,6,84,1,67,19,80,10,35,1,91,46
Longleng,3,0,0,16,5,3,3,0,0,3,3
Mokokchung,9,29,0,23,12,21,13,11,0,38,24
Mon,4,7,0,89,7,74,6,4,0,11,10
Niuland,2,1,0,2,6,2,2,1,0,3,3
Noklak,1,1,0,6,2,0,1,0,0,2,1
Peren,5,1,0,27,3,13,5,1,0,6,6
Phek,5,4,0,22,5,7,5,4,0,9,9
Shamator,1,0,0,8,1,8,1,1,0,1,2
Tseminyu,2,1,0,3,1,1,2,1,0,3,3
Tuensang,0,7,0,44,9,42,6,1,0,7,7
Wokha,4,8,0,38,15,48,6,8,0,12,14
Zunheboto,3,7,0,8,2,3,7,4,0,10,11
