district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,35830.81,45617.07,285.72,78.73,75.05,,45513.09,60778.87,0.00,76.90,81733.60,106291.96
Dimapur,21055.06,53953.31,264753.25,75.13,70.15,55.54,28026.15,76916.07,476654.67,58.42,339761.62,581596.89
Kiphire,3553.18,13477.89,12.31,204.13,129.07,,1740.61,10442.31,0.00,139.90,17043.38,12182.92
Kohima,16431.27,173635.49,3289.60,53.07,30.03,98.20,30964.06,578228.76,3350.00,31.57,193356.36,612542.82
Longleng,11349.39,65.55,0.07,155.87,,,7281.09,0.00,0.00,156.78,11415.01,7281.09
Mokokchung,22387.88,56787.57,77.10,76.82,87.17,,29143.16,65142.88,0.00,84.06,79252.55,94286.04
Mon,14308.39,20466.84,28.40,113.38,80.04,,12619.54,25569.23,0.00,91.14,34803.63,38188.77
Niuland,8914.23,3239.66,0.00,145.07,97.50,,6144.70,3322.74,0.00,128.38,12153.89,9467.44
Noklak,3008.78,0.00,0.00,77.71,0.00,,3871.71,26.90,0.00,77.18,3008.78,3898.61
Peren,19993.81,1573.83,53.42,163.27,63.50,,12245.51,2478.56,0.00,146.84,21621.06,14724.07
Phek,12459.02,18546.95,34.03,61.73,107.63,,20184.52,17232.63,0.00,82.96,31040.00,37417.15
Shamator,2530.76,83.00,65.90,165.81,,,1526.31,0.00,0.00,175.56,2679.66,1526.31
Tseminyu,7060.34,726.79,0.00,105.02,33.21,,6723.09,2188.36,0.00,87.38,7787.13,8911.45
Tuensang,4911.01,28806.50,0.00,152.06,129.02,,3229.64,22326.76,0.00,131.93,33717.51,25556.40
Wokha,7418.44,25697.59,0.75,106.82,73.09,,6945.00,35157.91,0.00,78.66,33116.78,42102.91
Zunheboto,9649.96,27667.96,83.88,87.12,157.23,,11076.11,17596.98,0.00,130.44,37401.80,28673.09
