District,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Chumoukedima,20,41.28,86,194.71
Dimapur,2147,1200.75,4331,1879.85
Kiphire,0,0.00,1,2.20
Kohima,38,138.26,197,426.87
Longleng,0,0.00,0,0.00
Mokokchung,35,113.30,143,319.86
Mon,7,3.70,40,92.56
Niuland,0,0.00,0,0.00
Noklak,3,6.60,3,5.98
Peren,5,16.90,10,27.29
Phek,8,21.60,60,152.13
Shamator,0,0.00,0,0.00
Tseminyu,0,0.00,2,3.02
Tuensang,12,48.40,66,149.77
Wokha,12,10.05,26,46.79
Zunheboto,0,0.00,1,1.62
