district,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Chumoukedima,1221,115.92,113,387.42,413,53.28,78,373.75,209,717.91,17,31.35,4.37
Dimapur,3250,564.44,602,1468.51,528,303.06,305,1319.73,999,2833.56,213,351.35,12.40
Kiphire,1093,190.65,108,169.86,378,23.74,130,259.90,213,314.67,22,26.03,8.27
Kohima,2346,515.13,137,280.18,397,114.20,106,304.00,360,616.23,60,76.78,12.46
Longleng,326,48.32,11,18.55,348,48.54,28,44.53,96,95.16,2,1.14,1.20
Mokokchung,2278,470.22,454,896.06,562,98.56,243,809.00,670,1388.70,195,242.25,17.44
Mon,2349,431.13,189,213.69,1028,306.52,63,142.93,317,338.45,58,48.11,14.21
Niuland,72,4.88,11,25.42,81,5.22,33,139.90,104,242.19,1,1.54,0.64
Noklak,205,301.34,0,0.00,205,301.34,0,0.00,12,18.15,1,2.98,16.42
Peren,678,86.16,101,278.31,164,37.89,142,631.83,474,1653.64,14,32.35,1.96
Phek,2234,500.80,175,317.27,882,237.09,105,324.43,394,835.82,63,71.18,8.52
Shamator,197,19.22,4,18.40,230,19.69,11,18.53,45,39.25,0,0.00,0.00
Tseminyu,663,166.49,7,11.04,309,133.01,3,10.00,21,31.40,7,6.19,19.71
Tuensang,2001,480.87,88,87.99,692,369.71,36,96.83,238,313.81,42,31.96,10.18
Wokha,1050,293.94,138,315.55,331,200.93,112,390.99,296,660.08,22,17.04,2.58
Zunheboto,1367,240.25,110,143.67,578,157.04,51,134.10,176,271.82,49,41.00,15.08
