district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Chumoukedima,79,975.96,68,2728.03,24,526.09,0,0.00,0,0.00,0,0.00
Dimapur,2149,5166.25,490,13312.77,148,3694.40,2,29.33,0,0.00,2,29.33
Kiphire,21,307.15,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kohima,2529,2820.25,349,12006.73,9,116.97,12,227.38,0,0.00,12,227.38
Longleng,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Mokokchung,80,823.32,98,1683.26,91,792.87,0,0.00,0,0.00,0,0.00
Mon,6789,791.85,0,0.00,1,9.80,0,0.00,0,0.00,0,0.00
Niuland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Noklak,6,196.07,0,0.00,1,13.67,0,0.00,0,0.00,0,0.00
Peren,15,191.12,0,0.00,7,85.99,0,0.00,0,0.00,0,0.00
Phek,41,543.07,1,29.44,1,0.30,0,0.00,0,0.00,0,0.00
Shamator,1,29.65,0,0.00,1,12.56,0,0.00,0,0.00,0,0.00
Tseminyu,15,274.79,4,115.52,0,0.00,0,0.00,0,0.00,0,0.00
Tuensang,18,297.42,0,0.00,2,27.68,0,0.00,0,0.00,0,0.00
Wokha,14,169.53,2,12.57,13,203.03,0,0.00,0,0.00,0,0.00
Zunheboto,33,486.40,2,43.28,11,353.61,0,0.00,0,0.00,0,0.00
