District,Enrolment under PMJJBY,Eligible cases under PMJJBY,Rene wals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Rene wals under PMSBY,Enrolment under APY,Total Enrolment No.
Chumoukedima,9196,80916,4894,26800,108646,16387,2206,38202
Dimapur,33247,232157,20212,95697,315125,58564,13104,142048
Kiphire,6394,12754,5688,18870,23115,12577,1473,26737
Kohima,21114,145983,14431,68044,199137,46549,6306,95464
Longleng,4760,8360,3554,14966,15804,9811,1341,21067
Mokokchung,16338,54668,8806,45498,83971,29026,2878,64714
Mon,8366,49176,5491,31734,79319,23393,1488,41588
Niuland,1971,2193,409,4103,3795,1723,308,6382
Noklak,968,5697,332,2366,10264,1398,114,3448
Peren,4838,18509,2615,14355,31245,9574,536,19729
Phek,7576,30325,5196,21954,49774,14381,1146,30676
Shamator,1729,2733,838,4376,5144,2058,332,6437
Tseminyu,815,5047,555,2312,8405,1575,175,3302
Tuensang,6394,22073,3231,18730,40407,12415,700,25824
Wokha,8183,31092,5449,28882,47717,19893,1906,38971
Zunheboto,8228,25462,5115,24890,41654,14608,1618,34736
