District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Chumoukedima,50014.22,71722.30,0.00,121736.52,41090.34,62839.54,472.74,104402.62,82.16,87.62,0.00,85.76
Dimapur,33512.58,50798.03,558970.86,643281.47,22295.47,73553.35,318920.26,414769.08,66.53,144.80,57.05,64.48
Kiphire,3188.99,9248.88,0.00,12437.87,4526.66,14972.13,0.00,19498.79,141.95,161.88,0.00,156.77
Kohima,44186.19,736983.28,0.00,781169.47,17887.40,210716.18,1327.52,229931.10,40.48,28.59,0.00,29.43
Longleng,10406.23,144.55,0.00,10550.78,14293.98,76.81,0.00,14370.79,137.36,53.14,0.00,136.21
Mokokchung,33615.86,58137.32,0.00,91753.18,28450.59,61683.69,272.68,90406.96,84.63,106.10,0.00,98.53
Mon,15515.95,26681.52,0.00,42197.47,18101.98,26324.06,0.00,44426.04,116.67,98.66,0.00,105.28
Niuland,1747.91,0.00,0.00,1747.91,3515.66,0.00,0.00,3515.66,201.14,,0.00,201.14
Noklak,4776.58,230.83,0.00,5007.41,3659.77,218.08,0.00,3877.85,76.62,94.48,0.00,77.44
Peren,18552.11,1977.46,0.00,20529.57,24137.75,1087.22,0.00,25224.97,130.11,54.98,0.00,122.87
Phek,16545.93,17955.17,0.00,34501.10,14707.30,22213.53,0.00,36920.83,88.89,123.72,0.00,107.01
Shamator,1851.87,0.00,0.00,1851.87,2932.67,0.00,0.00,2932.67,158.36,,0.00,158.36
Tseminyu,6334.29,1860.38,0.00,8194.67,9168.03,609.68,0.00,9777.71,144.74,32.77,0.00,119.32
Tuensang,4497.09,21368.82,0.00,25865.91,6609.71,33893.16,0.00,40502.87,146.98,158.61,0.00,156.59
Wokha,11389.22,33292.84,0.00,44682.06,9859.55,31728.65,143.27,41731.47,86.57,95.30,0.00,93.40
Zunheboto,15755.26,18010.44,6.00,33771.70,13170.84,31448.57,0.00,44619.41,83.60,174.61,0.00,132.12
