district,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Chumoukedima,1,27.55,0,0.00,7,140.37,8,167.92,42,607.56,0,0.00,0.00
Dimapur,17,172.07,5,92.95,29,448.52,51,713.54,206,3799.23,20,260.20,6.85
Kiphire,0,0.00,0,0.00,0,0.00,0,0.00,3,29.55,0,0.00,0.00
Kohima,10,162.97,0,0.00,13,465.64,23,628.61,87,1899.98,2,38.33,2.02
Longleng,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Mokokchung,2,15.27,0,0.00,6,163.65,8,178.92,61,903.13,4,16.45,1.82
Mon,3,52.02,0,0.00,1,10.50,4,62.52,15,262.83,1,5.37,2.04
Niuland,0,0.00,0,0.00,0,0.00,0,0.00,1,13.40,0,0.00,0.00
Noklak,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Peren,2,50.00,0,0.00,1,31.00,3,81.00,7,137.90,0,0.00,0.00
Phek,0,0.00,0,0.00,1,12.03,1,12.03,10,160.13,0,0.00,0.00
Shamator,1,12.93,0,0.00,0,0.00,1,12.93,3,28.06,0,0.00,0.00
Tseminyu,0,0.00,0,0.00,1,11.00,1,11.00,3,53.90,0,0.00,0.00
Tuensang,0,0.00,0,0.00,1,41.50,1,41.50,3,65.54,0,0.00,0.00
Wokha,1,25.70,0,0.00,2,29.80,3,55.50,17,319.66,0,0.00,0.00
Zunheboto,4,65.50,0,0.00,4,77.95,8,143.45,29,514.78,0,0.00,0.00
