District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi- Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Chumoukedima,11,14,0,25,8,13,0,21,90,11,101
Dimapur,4,14,43,61,5,12,131,148,104,138,242
Kiphire,2,2,0,4,1,4,0,5,31,0,31
Kohima,9,47,0,56,6,93,0,99,65,134,199
Longleng,3,1,0,4,4,1,0,5,11,3,14
Mokokchung,14,11,1,26,10,28,0,38,16,23,39
Mon,9,6,0,15,4,9,0,13,149,47,196
Niuland,2,0,0,2,2,0,0,2,6,7,13
Noklak,1,1,0,2,1,1,0,2,21,0,21
Peren,5,1,0,6,5,1,0,6,28,2,30
Phek,5,4,0,9,5,4,0,9,22,0,22
Shamator,2,0,0,2,1,0,0,1,10,0,10
Tseminyu,2,1,0,3,2,1,0,3,3,0,3
Tuensang,3,4,0,7,1,8,0,9,8,0,8
Wokha,6,8,0,14,2,8,0,10,38,7,45
Zunheboto,7,6,0,13,4,8,0,12,20,1,21
