District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Pct
Chumoukedima,45,200.55,65,231.23,14,3.77,0,0.00,0.00
Dimapur,196,947.04,319,1048.88,33,4.92,5,3.10,0.30
Kiphire,11,13.20,36,29.10,8,3.45,4,2.57,8.83
Kohima,68,186.34,180,291.23,13,6.73,5,5.87,2.02
Longleng,52,58.83,80,76.83,11,4.91,2,1.14,1.48
Mokokchung,218,588.71,379,948.13,12,16.35,19,20.35,2.15
Mon,77,134.27,249,267.54,21,16.56,12,13.35,4.99
Niuland,35,147.90,98,216.54,13,1.19,1,1.54,0.71
Noklak,11,18.60,12,18.15,0,0.00,1,2.98,16.42
Peren,252,1256.40,420,1511.73,60,16.99,6,22.43,1.48
Phek,99,354.17,203,459.47,65,32.48,22,32.50,7.07
Shamator,17,20.42,45,30.13,0,0.00,0,0.00,0.00
Tseminyu,2,6.00,13,16.49,6,2.12,3,1.98,12.01
Tuensang,69,105.52,115,156.72,20,8.92,11,15.48,9.88
Wokha,70,229.04,168,316.28,2,9.47,4,3.60,1.14
Zunheboto,53,138.08,93,164.81,11,14.04,3,1.92,1.16
