District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Chumoukedima,9477,12392,9660,12818,22478,1750,1111.07,16288,3214,12114
Dimapur,10365,83335,40589,52019,92608,9966,3072.17,66911,26297,61800
Kiphire,5969,10379,7574,8770,16344,1684,494.89,11947,1422,11022
Kohima,16975,9349,11066,15376,26442,5699,1138.65,18546,8928,17557
Longleng,16005,0,7402,8603,16005,527,354.15,19289,3452,12776
Mokokchung,16194,12786,16944,18453,35397,5172,1470.9,24303,3139,21609
Mon,23938,30300,26765,27467,54232,3360,1715.9,40058,9072,36589
Niuland,4128,0,1687,2440,4127,307,85.81,2208,450,3169
Noklak,5319,0,2579,2740,5319,11,169.73,4951,529,2344
Peren,17011,22,7463,9568,17031,334,848.15,15647,1838,11312
Phek,12714,11369,10981,13097,24078,2554,1125.97,19218,2125,16749
Shamator,4877,12,2186,2703,4889,525,108.9,4054,873,2661
Tseminyu,2609,87,1033,1663,2696,287,162.26,1916,275,1948
Tuensang,4101,24330,14068,14360,28428,1851,838.14,24695,4007,12136
Wokha,6666,7324,5900,10010,15910,647,763.04,12140,1604,10393
Zunheboto,14577,4111,9292,9396,18688,3271,464.4,12099,1183,8149
