district,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Chumoukedima,0,0.00,1,0.65,0,0.00,0,0.00,0,0.00,24,28.45,25,29.10
Dimapur,0,0.00,9,28.06,39,367.60,0,0.00,0,0.00,88,74.19,136,469.85
Kiphire,0,0.00,0,0.00,6,52.33,0,0.00,0,0.00,2,11.90,8,64.23
Kohima,0,0.00,2,9.16,8,69.96,0,0.00,0,0.00,71,67.21,81,146.33
Longleng,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Mokokchung,0,0.00,0,0.00,1,2.58,0,0.00,0,0.00,35,57.27,36,59.85
Mon,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,1.71,2,1.71
Niuland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Noklak,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Peren,0,0.00,0,0.00,2,36.85,0,0.00,0,0.00,2,11.96,4,48.81
Phek,0,0.00,0,0.00,3,15.54,0,0.00,0,0.00,4,19.58,7,35.12
Shamator,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Tseminyu,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Tuensang,0,0.00,0,0.00,4,54.11,0,0.00,0,0.00,1,8.05,5,62.16
Wokha,0,0.00,0,0.00,4,17.43,0,0.00,0,0.00,27,49.66,31,67.09
Zunheboto,0,0.00,0,0.00,23,313.19,0,0.00,0,0.00,11,57.86,34,371.05
